,순위,책이름,저자,줄거리
10,11,젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"연애 문학의 최고봉이며, 괴테를 형성하고 있는 여러 가지 요소와 경향이 음양으로 명백하게 아련하게 표명되어 있는 고전의 명작! 한때 자살자가 속출, 발매금지가 되기까지 한 문제의 소설이다."
11,12,상실의 시대,무라카미 하루키,"상실의 시대를 지나는 세상 모든 청춘을 위해!일본을 뛰어넘어 세계적 베스트셀러 작가로 거듭난 무라카미 하루키를 대표하는 『상실의 시대』. 혼자라는 고독 속에서 꿈과 사랑, 그리고 정든 사람들을 잃어가는 상실의 아픔을 겪는 세상 모든 청춘을 위한 장편소설이다. 저자의 자전적 소설이기도 하다. '와타나베'라는 한 남자가 10대부터 30대까지 젊은 날에 겪은 감미롭고 황홀하고 애절한 사랑 이야기를 그려내고 있다. 특히 와타나베가 '기즈키'와 '나오코' 혹은 '나오코'와 '미도리' 등과의 파격적 삼각관계를 중심으로 겪는 사랑뿐 아니라, 질투, 미움, 고독의 심리를 저자 특유의 탁월한 문학성과 문장력에 의해 현란하게 펼쳐낸다. 허무와 무상의 시간을 뛰어넘어 재생의 의욕을 심어줄 것이다.☞ 북소믈리에 한마디!꿈과 이념.."
12,13,파리대왕,윌리엄 골딩,"1983년 노벨상 수상작가의 대표 장편. 핵전쟁이 벌어진 위기상황에서 한떼의 영국 소년들이 후송되던 중 무인도에 불시착한다. 무인도에서 벌어지는 소년들의 삶과 죽음, 투쟁을 그린 작품으로 인간 본성의 결함에서 사회결함의 근원을 나타낸 소설이다. 일반적인 불안의 풍토 속에서 구상된 모험담으로 우화와 알레고리의 차원을 지닌 작품으로 폭발적인 호소력을 발휘한 소설이다."
13,14,햄릿,윌리엄 셰익스피어,"영국 최고의 극작가 셰익스피어가 낳은 문제적 인간 ‘햄릿’삶과 죽음, 인간의 모든 문제를 담고 있는 극문학의 정수셰익스피어의 4대 비극 중 가장 유명하고 가장 대중의 사랑을 받는 작품인 『햄릿』. 1601년에 창작한 이 작품은 격변하는 르네상스기의 흐름을 반영하는 시대정신의 산물이자, 선과 악 사이에서 갈등하며 인간의 존재 이유를 묻는 햄릿을 통해 회의적 인간의 전형을 보여 준다. 갈릴레이와 동시대인인 셰익스피어는 당시 이탈리아에서 유입된 새로운 문화로 인해 영국 사회가 술렁이던 상황, 아울러 통치자이던 엘리자베스 여왕의 총애를 듬뿍 받던 에섹스 백작이 왕위 계승 문제로 한순간에 반란자가 되는 상황을 목도하고 『햄릿』을 구상했다. 셰익스피어는 햄릿이라는 문제적 인간을 내세워 동물과 대비되는 지성의 능력과 한.."
14,15,폭풍의 언덕,에밀리 브론테,"『폭풍의 언덕』은 서른 살의 나이에 요절한 에밀리 브론테가 죽기 일 년 전에 발표한 유일한 소설. 황량한 들판 위의 외딴 저택 워더링 하이츠를 무대로 벌어지는 캐서린과 히스클리프의 비극적인 사랑, 에드거와 이사벨을 향한 히스클리프의 잔인한 복수를 그린 이 작품은 작가가 ‘엘리스 벨’이라는 가명으로 발표했을 당시에는 그 음산한 힘과 등장인물들이 드러내는 야만성 때문에 반도덕적이라는 비난을 받았다. 심지어 그녀의 언니 샬럿마저도 1850년에 출판된 소설의 서문에서 ""어줍잖은 작업장에서 간단한 연장으로 하찮은 재료를 다듬어 만든 것""이라고 말한 바 있다. 에밀리가 이 세상에 남긴 것은 이 한 편의 소설과 완성되지 않은 단편적인 문장을 포함한 193편의 시에 불과하다. 그럼에도 그녀가 불후의 문학적 명성을 얻게 된.."
15,16,천 개의 찬란한 태양,할레드 호세이니,"절망의 끝에서 희망을 피워낸 두 여자가 만들어내는 인간드라마 아프가니스탄에 남겨진 여성들의 삶. 이 책은 아프가니스탄 출신의 작가 할레드 호세이니의 작품으로, 절망의 끝에서 희망을 피워낸 두 여자가 만들어내는 인간드라마를 탄탄한 구성과 흡입력 강한 문체로 그려내고 있다. 전란의 소용돌이에 남겨진 두 여자, 마리암과 라일라. 한 남자의 아내들로 만나게 된 두 여자는, 어쩌면 불가능할 듯도 싶은 연대를 만들어간다. 가난과 차별, 그리고 끊임없는 폭력과 생명의 위협 속에서도 서로에 대한 믿음과 희생으로 희망을 가꿔가는 그들의 이야기가 눈물겹게 펼쳐진다.▶ 작품 자세히 들여다보기!소련 침공, 내전과 뒤이은 탈레반 정권의 폭압, 그리고 미국과의 전쟁 등 아프가니스탄의 비극적인 현대사와 그 전란의 소용돌이 속에 남겨진.."
16,17,멋진 신세계,올더스 헉슬리,1932년 발표한 고전소설. 과학의 발달로 인하여 인간 이 모두 인공적으로 제조되는 미래사회를 풍자적으로 그린 장편. 인간이 스스로 발견한 과학과 성앞에 노예로 전락하여 마침내 모든 인간적 가치와 존엄성을 상 실하는 비극을 묘사했다. 저자는 1894년 영국 출생.
17,18,구운몽,김만중,"<구운몽>은 조선 중기의 전형적인 양반 사회의 이상을 반영한 본격적인 고전 소설이다. 또한 귀족 문학에서 평민 문학으로 넘어가는 과도기적인 작품이며 현실에서 꿈으로, 다시 현길로 돌아오는 환몽 구조를 바탕으로 한 몽자류 소설의 효시다. 제목의 구운은 주인공 성진과 팔선녀을 가리키며, 인간의 삶을 나타났다 사라지는 구름에 비유하고 있으니 구운몽은 결국 이들 아홉 사람들이 꾼 꿈이다. 이 작품에서는 인생 무상, 일장춘몽, 즉 덧없음이라는 주제를 주인공 성진의 하룻밤 꿈을 통해 보여준다. 김만중의 <구운몽>은 오늘날에 이르기까지 환몽구조를 가진 작품들의 원형이 되고 있으며 그 주제 또한 변함없는 감동과 교훈을 주는 고전소설의 백미이다."
18,19,꾸뻬 씨의 행복 여행,프랑수아 를로르,"진정한 행복을 찾아 나선 꾸뻬 씨의 여행!파리의 정신과 의사 꾸뻬 씨가 전하는 특별한 행복론 『꾸뻬 씨의 행복 여행』. 현대인의 우울한 마음의 원인을 진단하는 책들을 펴내며 작가로서도 명성을 얻고 있던 정신과 전문의 프랑수아 를로르가 환자들을 진료하며 얻은 경험과 생각들을 바탕으로 쓴 소설이다. 물질적인 풍요보다 정신적인 만족이 행복의 기준이 되어가는 시대, 복잡한 현대인의 심리의 핵심을 짚어보면서 누구나 공감할 수 있는 이야기로 마음을 움직인다. 교보문고와 함께하는 KBS 2TV 북토크쇼 《달빛프린스》의 세 번째 선정도서로, 배우 이보영이 추천했다.성공한 정신과 의사 꾸뻬 씨. 그의 진료실은 언제나 많은 것을 갖고 있으면서도 스스로를 불행하다고 여기는 사람들로 넘쳐난다. 어느 날, 꾸뻬 씨는 자신 역시 행.."
19,20,개미 1,베르나르 베르베르,"프랑스의 천재 작가 베르나르 베르베르의 〈개미〉는 인간 세계와 개미 세계의 만남과 대립에 이어 두 문명이 서로 이해하고 화합을 이루게 되는 장을 그려 내고 있다.〈개미〉는 우선 표면적으로는 소설에서 설정된 인간 사회와 개미 사회에서 일어나는 실종?살인 등을 추적해서 그 원인을 밝히는 추리 소설 양식과 개미들의 생태 등이 과학적 준거 위에서 치밀하게 관찰?묘사되는 과학 소설 양식이 한꺼번에 잘 녹아 있는 데서 감각적 재미가 얻어진다.그 자체로 흥미로운 〈추리+과학〉과 소설 양식의 얽힘은 그러나 단순히 그곳에서 머물지 않고 소설 속의 세 가지 이야기, 즉 인간들의 삶, 개미 사회의 삶, 백과사전 기록 등의 서사가 병치?나열되는 가운데 더욱 큰 미궁에 빠뜨리는 추리와 더욱 치밀해지는 놀라운 .."
20,21,호밀밭의 파수꾼,제롬 데이비드 샐린저,20세기 최고의 미국 현대소설로 칭송받는 책. 존 레넌이 암살되던 때 피격자가 이 책을 들고 있던 것으로 유명하다. 넓은 호밀밭을 뛰어노는 아이들이 굴러떨어질 때 벼랑 끝에서 붙잡아주는 호밀밭의 파수꾼이 되고 싶어하는 주인공 홀든이 누군가 자신을 붙잡아주기를 바라며 헤매이는 48시간의 독백이다.
21,22,제인 에어 1,샬롯 브론테,"영국 문학에서 최초로 욕망을 다룬 작품으로 평가되면서 오늘날까지도 그 문학적 가치를 인정받고 있는 로맨스 소설의 고전 영국의 소설가 샬럿 브론테의 장편 소설 <제인 에어>, 제 1 권. 1816년 4월 21일 영국 요크셔 주의 손턴에서 태어나 1855년 3월 31일 임신한 상태에서 여러 병을 한꺼번에 앓다가 사망한 샬럿 브론테는 1847년 '커러 벨'이라는 남성 필명으로 이 소설을 발표하였다. 빅토리아 여왕 시대의 엄격한 윤리관이 지배하고 있던 사회 분위기에서 여성이 쓴 소설이라는 이유만으로 쏟아질 편견과 비난을 피하기 위해서였다. 여성의 입장에서 본 사랑과 욕망, 등에 대한 이 소설은 출간되자마자 사회적 파장을 일으키며 놀라운 성공을 거두었다. 어린 나이에 고아가 되어 외숙부의 가족과 함께 살게.."
22,23,인생,위화,"<허삼관 매혈기>의 작가, 위화의 대표작!1994년 칸 영화제 심사위원 대상 수상작 '인생'의 원작 소설. 망나니 같은 부잣집 도련님에서 가난한 농부로 전락한 푸구이의 일생을 통해 사람이 어떻게 엄청난 고난을 견뎌내는가, 극한의 상황에서도 삶을 포기하지 않고 끝까지 살아가게 하는 힘은 무엇인가를 보여준다. 소설은 농촌으로 민요를 수집하러 간 '나'에게 늙은 농부 푸구이가 자신의 과거를 들려주는 방식으로 전개된다. 부유한 지주의 외아들이었던 푸구이는 전문 도박꾼 룽얼에게 걸려들어 하룻밤 만에 전 재산을 잃고, 초가집에 사는 농사꾼 신세로 전락한다. 단 한순간에 모든 것이 바뀐 그날 이후 푸구이는 운명과의 장난 같은 줄다리기, 늘 끌려 다니기만 하는 불공평한 줄다리기를 시작하게 되는데…. <개정.."
23,24,허클베리 핀의 모험,마크 트웨인,"미국의 셰익스피어로 불리는 작가의 대표작. 100여년 만에 우연히 발견된 친필 원고를 바탕으로 기존의 장에 빠져있던 내용과 에피소드를 첨부한 책이다. 허클베리 핀의 모험』은 유치원 학생에서 대학원 박사과정 학생에 이르기까지 글을 읽을 줄 아는 사람이면 누구나 읽는 고전 중의 고전이다. 성인이 되기 위해서는 읽어야 하는, 일종의 통과 의례와도 같은 이 작품은 세계문학사에서 가장 폭넓은 독자층을 가지고 있다. 헤밍웨이, S. 앤더슨, 윌리엄 포크너, 헤밍웨이 등의 작품 속에는 트웨인의 그림자가 어른거릴 만큼 그는 미국의 작가 중의 작가이다. 이번 <세계문학전집>에 수록된 이 번역은 1996년 미국의 랜덤하우스 출판사에서 출판된 <유일 완전판>을 텍스트로 삼았다. 이 판은 그 동안 분실되었다.."
24,25,허삼관 매혈기,위화,"설령 목숨을 파는 거라 해도 난 피를 팔아야 합니다!가족을 위해 피를 파는 한 남자의 고단한 삶을 특유의 풍자와 해학으로 그려낸 중국 작가, 위화 장편소설. 한평생 피를 팔아 가족을 위기에서 구해낸 속 깊은 아버지 허삼관을 주인공으로 한 소설로, 삶의 고단함과 슬픔을 능청스럽게 껴안는 익살과 해학 그리고 그 뒤에 자리한 인간에 대한 속 깊은 애정을 만날 수 있다. 성안의 생사공장에서 누에고치 대주는 일을 하는 노동자 허삼관. 그의 삼촌들이 사는 마을에서는 피를 안 팔아본 남자는 여자를 얻을 수 없다. 결혼의 조건으로 가장 중요한 것은 건강인데 피를 팔 수 있다는 것은 건강하다는 증거이기 때문이다. 그래서 허삼관은 그 마을 사람인 근룡이와 방씨를 따라 피를 팔러 성안의 병원으로 간다. 피를 팔러 가는 날은 아.."
25,26,인간의 굴레에서 1,윌리엄 서머셋 모옴,"서머셋 몸의 <인간의 굴레에서>는 교양소설(Bildungsroman) 계열에 든다. 교양소설이란 젊은이가 인생과 사회에 눈떠가는 과정을 그린, 성장소설과도 비슷한 개념이다. 이 책 역시 고뇌를 짊어진 한 젊은이가 마음의 상처를 극복하면서 세상에 눈떠가는 과정을 섬세하게 그렸다."
26,27,우리는 사랑일까,알랭 드 보통,"남녀 간의 연애심리를 독특하게 분석한 지적인 연애소설!연애의 진행과정을 담아낸 알랭 드 보통의 지적인 연애소설 『우리는 사랑일까』. <왜 나는 너를 사랑하는가>와 <너를 사랑한다는 건>에 이은 '사랑과 인간관계 3부작'의 하나로, 3부작 중에서 여주인공의 시선으로 그려진 유일한 책이다. 20대 중반의 커리어우먼 앨리스가 꿈꾸는 낭만적 사랑과 그녀의 남자친구 에릭 사이에서 벌어지는 아슬아슬한 사건들을 통해 이상적 사랑이 어떻게 현실 속에서 성숙한 사랑으로 완성되어가는지를 보여준다. 연애의 탄생에서 성장, 그리고 결실까지를 작가 특유의 현학적 분석과 세밀한 심리 묘사로 흥미진진하게 펼쳐놓는다. ☞ 북소믈리에 한마디!이 소설은 연애를 하면서 겪게 되는 소소한 심리적 갈등과 연애관을 기후, 건.."
27,28,위대한 유산 1,찰스 디킨스,인간에 대한 깊은 통찰이 담긴 찰스 디킨스의 대표작!영국을 대표하는 작가 찰스 디킨스의 소설『위대한 유산』제1권. 19세기 산업화 초기 시대 영국의 부조리한 사회를 그려내는 작가였던 디킨스는 그러한 사회 비판적 시선을 대중적이고 보편적인 주제 안에 자연스럽게 풀어내었다. 작품성과 대중성을 함께 인정받는 이 소설은 그 시대 영국의 중산계급에 널리 퍼졌던 사회적 욕망을 보여주고 있다. 억척스러운 누나와 대장장이인 매형과 살아가던 소년 핍은 마을의 유지 미스 해비셤의 집에서 아름다운 소녀 에스텔러를 만난다. 핍은 에스텔러를 만난 후 자신의 가난과 무지를 깨닫고 번민의 사춘기를 보내며 신분 상승에 대한 욕망을 갖게 된다. 그러던 중 익명의 사람으로부터 거액의 유산을 물려받게 된 핍은 런던으로 가서 신사 교육을 받는..
28,29,맥베스,윌리엄 셰익스피어,"셰익스피어의 극 가운데 가장 위대한 작품으로 『햄릿』을 꼽는다면, 『맥베스』는 길이가 짧으면서도 단일한 내용과 빠른 극 전개로 인해 가장 화려하면서도 대사의 시적 완성도가 높은 작품으로 꼽힌다.주인공 '맥베스'는 마녀들의 달콤한 예언과 아내의 부추김에 빠져 왕을 살해하는가 하면, 범죄의 목격자와 의심하는 자 모두를 죽여야 하는 상황이 펼쳐지기도 한다. 심지어 모든 인간을 살해해야만 하는 엄청난 상황으로 치달을 정도다. 그리하여 종국에는 자신 마저 죽게되는 사태가 전개된다. 악몽으로부터 탈출할 수는 없으며, 그것이 바로 인간의 숙명적인 존재 이유라고 말하는 듯하다. 또한 그 모든 것을 딛고 일어서는 '사랑의 빛'과 '비극적 숭고함'이 작품을 빛내고 있다. * 이번 민음사 세계문학전집에 포함된 『맥베스』는 셰익.."
29,30,인생의 베일,윌리엄 서머셋 모옴,"인간 본성에 대한 서머싯 몸 특유의 깊은 통찰이 돋보이는 걸작'달과 6펜스', '인간의 굴레에서'의 작가 서머싯 몸의 장편소설. 전통적 가치관 아래에서 자란 여성이 결혼 생활의 환상이 깨지고 외도의 아픔을 겪으면서 긍정적인 여성성을 모색한다는 보편적인 문제를 다루고 있다. 허영과 욕망이라는 인간의 굴레를 극복해 나가는 주인공 키티의 힘겨운 성장을 통해 진정한 사랑, 용서와 화해, 그리고 삶의 의미를 되짚어나간다. 아름답고 명랑한 키티는 허영 많은 엄마의 기대 속에 사교계에 등장하지만 결국 나이에 쫓겨 도피하듯 결혼한다. 그녀는 매력적인 유부남 찰스 타운센드와 사랑의 불꽃을 태우다가 그에게 배신당하고, 부정을 알게 된 남편의 협박에 콜레라가 기승을 부리는 중국의 오지 마을로 끌려간다. 키티는 사방에 깔린 죽음.."
30,31,새들은 페루에 가서 죽다,로맹 가리,"<새들은 페루에 가서 죽다>로 잘 알려진 작가, 로맹 가리 단편선 모음집. 열여섯 편이 수록된 이번 단편집에서 작가는 '인간'이라고 하는 거대한 허영에 대한 신랄한 탄핵을 담아낸다.표제작에서 새들은 페루의 리마에서 북쪽으로 10KM쯤 떨어진 해안에 널부러져 퍼덕이다가 죽어간다. 이 해안의 한 카페을 지키던 주인공은 자살을 시도하는 한 여자를 구해준다. 새들이 왜 리마 근처의 해안까지 몰려와서 죽는지 이유를 알 수는 없다. 마찬가지로 '여자'는 무엇에 쫓겨 그 해안에 왔는지 왜 죽으려는 것인지 설명하지 않는다. '백수광부의 처'처럼 갑자기 물로 달려왔다가 사라진다. 표제작 외에도 열여섯 편의 작품은 모두 아이러니와 역설을 품고 있다. 작가는 그저 '이렇다'라고 말하고, '봐요, 참 아이러니하지 않아.."
31,32,대지,펄벅,"룽이라는 한 농부의 삶을 투시해 그려낸 이 작품은, 작품의 시공간적 배경을 실제로 경험한 작가의 독특한 이력 덕택에 청말기에서 중화민국 탄생까지의 중국 대륙과 중국인들의 삶을 진실하고 예리하게 묘사한다. 펄 벅은 흙과 인간의 삶이라는 주제를 보다 강렬하게 표출하기 위해서, 역사적인 사건들 너머 북방의 어느 시골에서 빈농의 자식으로 태어난 왕룽에게 시선을 고정시킨다. 왕룽과 그의 아내 오란, 그리고 그들로부터 비롯되는 한 가족의 역사는 어느 왕조의 이야기 못잖게 파란만장한 삶과 죽음, 사랑, 질병, 전쟁, 혁명, 질투의 서사시를 엮어낸다."
32,33,로미오와 줄리엣,윌리엄 셰익스피어,"셰익스피어가 빚어낸 순수한 열정의 비극!셰익스피어의 4대 비극과 함께 잘 알려진 작품 『로미오와 줄리엣』. 집안 간의 반목으로 인해 비극적인 결말을 맞는 연인의 사랑을 그린 작품으로, 극적인 구성과 아름다운 표현이 돋보인다. 특히 이 책은 셰익스피어의 원문을 그대로 살린 국내 최초 운문 번역으로, 우리말 운율을 살린 리듬감 있는 대사가 돋보인다. 오랜 세월 서로 반목해 온 몬터규와 캐풀렛 가문의 아들과 딸인 로미오와 줄리엣은 가면무도회에서 서로 첫눈에 반해 영원히 함께할 것을 맹세한다. 그러나 시비에 휘말린 로미오는 친구 머큐쇼를 죽인 티볼트를 죽이는데, 티볼트는 바로 캐풀렛 부인의 조카, 즉 줄리엣의 사촌이다. 이 사건으로 로미오는 추방형을 받는다. 로미오와 줄리엣은 처음이자 마지막으로 하룻밤을 함께 보내.."
33,34,속죄,이언 매큐언,"부커 상 수상작가 이언 매큐언의 대표작. 주인공 브리오니 탈리스는 소설가를 꿈꾸는 열세 살의 소녀. 무더운 어느 여름날, 브리오니는 우연히 창 밖을 내다보다가 언니 세실리아가 옷을 벗어던지고 정원의 분수대에 뛰어드는 것을 목격한다. 자매의 어릴 적 친구이자 케임브리지에서 얼마 전에 돌아온 의사 지망생 로비 터너가 그런 세실리아를 지켜보고 서 있다. 그날 하루가 끝날 무렵, 탈리스 저택의 영지에서는 또다른한 소녀가 강간을 당하고, 이때부터 세 사람의 운명은 생각지도 못했던 엇갈림을 겪게 되는데……."
34,35,다섯째 아이,도리스 레싱,"빅토리아풍의 집에 살며, 안정된 중산층 수입을 보장받고 있으며, 무엇보다도 사랑스런 아이들과 따뜻한 이웃과 함께 행복한 삶을 만끽하고 있는 해리엇과 데이빗 부부. 그러나 다섯째 아이인 벤의 탄생은 모성애와 책임감, 전통적인 가치를 믿어온 그들을 혼란에 빠트린다. 그들이 계획했던 이상적인 삶의 행로를 모두 파괴하는 벤을 보면서 헤리엇은 다섯째 아이의 존재가 행복하게 살려는 자신들에 대한 신의 형벌일까 아니면 태고로 거슬러 올라가는 우주적 진화의 소산일까 자문하기 시작한다. 『다섯째 아이』는 국내에는 처음으로 소개되는 도레스 레싱의 작품으로, 출간과 함께 바로'고전'으로 남을 작품이라는 평을 받았다. 그녀는 이 작품을 발표한후 뉴욕 타임즈와 가진 인터뷰에서 '다섯째 아이'를 착안하게 된 두 편의 글을 소개했다..."
