,순위,책이름,저자,줄거리
32,33,노멀 피플,샐리 루니,"“샐리 루니는 밀레니얼 세대의 샐린저다”1991년생 맨부커상 후보의 탄생!2020년 4월 영국 BBC 드라마 방영《뉴욕타임스》, 《타임》 올해의 책 ㆍ 전 세계 100만 부 판매 지금 이 순간, 밀레니얼 세대의 사랑과 불안을 오롯이 담아낸가장 젊고 뜨거운 맨부커상 후보작!27세의 나이에 세계적 문학상인 맨부커상 후보에 오르며 전 세계를 놀라게 한 샐리 루니의 『노멀 피플』이 아르테에서 출간되었다. 이 소설은 청소년 시기에 만난 두 남녀가 사랑으로 서로의 삶을 구원하며 어른이 되어가는 이야기를 담고 있다. 언뜻 플롯만 보면 흔한 러브스토리 같지만 페이지를 펼쳐 읽어가다 보면 노벨상, 공쿠르상과 함께 세계 3대 문학상에 꼽히는 맨부커상에 이름을 올린 작품답게 아름답고도 강력한 소설이라는 것을 감탄하며 동의하게 .."
33,34,스토브리그 대본집 2,이신화,"매회 최고 시청률 갱신! 『스토브리그』 무삭제판 대본집 출간!2020년, 세상을 향해 통쾌한 한방을 날리다! 모두의 편견을 깬 웰 메이드 야구 드라마, 대한민국은 지금 〈스토브리그〉 신드롬!만년 꼴찌 팀인 ‘드림즈’에 부임한 백승수 단장의 파격적인 행보를 그린 드라마로 1회 전국 시청률 5.5%로 출발해 방영 3주 만에 16.5%를 기록하며 스포츠 드라마는 성공하기 어렵다는 고정 관념을 단숨에 깼다. 단골 소재가 아닌 스포츠 종목을 통해 인간관계에서 벌어지는 갈등과 화합, 성장을 다루고 있으며 매회 명대사를 만들어내며 드라마 팬들의 열렬한 성원을 받고 있다. 스포츠 소재를 드라마로 다루고 있음에도 뻔하지 않고, 호불호 없이 남녀노소 시청자들의 절대적인 지지를 얻고 있으며, 오랜 취재 끝에 탄생한 대본답게 밀.."
34,35,시녀 이야기 + 증언들 세트,마가렛 애트우드,"디스토피아 소설의 교본 《시녀 이야기》와 후속작 《증언들》!마거릿 애트우드가 1985년 발표한 장편소설 『시녀 이야기』. 2017년 미국 HULU 채널을 통해 《핸드메이즈 테일》이라는 제목의 드라마로 새롭게 선보이며 또다시 주목받은 작품으로 여성을 오직 자궁이라는 생식 기관을 가진 도구로만 본다는 설정으로 큰 충격을 불러일으켰고, 마거릿 애트우드를 일약 화제 작가로 급부상시켰다. 출간한 지 30년이 되어가는 오늘날에 와서는 성과 가부장적 권력의 어두운 이면을 파헤친 저자의 예리한 통찰력으로 인해 시대를 뛰어넘는 고전으로 평가받고 있다.21세기 중반, 전지구적인 전쟁과 환경오염, 각종 성 질환으로 출생률이 급격히 감소하면서 미국은 극심한 혼란 상태에 빠진다. 이때를 틈타 가부장제와 성경을 근본으로 한 전체주의.."
35,36,올리버 트위스트,찰스 디킨스,"차가운 도시 밑바닥에서 피어오른 선한 용기와 삶의 희망영국인이 사랑하는 작가 찰스 디킨스의 대표작 단권 완역본“세상 사람들은 우리가 셰익스피어를 가져서 행운이라고 하는데, 우리는 찰스 디킨스를 가져서 더 행복하다”라고 영국인들은 말한다. 찰스 디킨스는 25세인 1837년부터 1839년까지 월간지 『벤틀리 미셀러니』에 『올리버 트위스트』를 연재하였다. 첫 번째 장편소설인 『피크윅 클럽의 기록』이 폭발적 인기를 누리게 되어, 당대 최고의 인기 작가가 된 후였다. 두 번째 장편소설인 『올리버 트위스트』에는 그의 자신감과 예술적 야망이 더욱 잘 나타나 있다. ‘고아원 소년의 여정’이라는 부제가 달린 이 작품은 찰스 디킨스 특유의 생생한 인물 묘사와 희극적 요소를 통해 19세기 영국 산업혁명 시대를 살아가는 고아 소.."
36,37,콜 미 바이 유어 네임,안드레 애치먼,"내 눈의 빛, 세상의 빛, 내 인생의 빛 같은 사람!90회 아카데미 각색상 수상작 《콜 미 바이 유어 네임(CALL ME BY YOUR NAME)》의 원작 소설 『콜 미 바이 유어 네임』. 파이팅 어워드 수상자 안드레 애치먼이 감각적인 언어로 피아노 연주와 책이 삶의 전부인 열일곱 소년 엘리오와 스물넷의 미국인 철학교수 올리버, 두 남자의 사랑을 섬세하게 그려낸 작품이다.리마스터판으로 재출간된 책으로, 첫 문장부터 마지막 한 문장까지 전체 원문 대조를 통해 원작의 감성을 더욱 충실히 옮겼으며, 새로운 표지와 본문 디자인으로 첫사랑의 묘한 감정을 아름답게 표현하고 가독성을 높였다. 책을 읽는 동안 엘리오와 올리버 두 연인의 뜨겁고 순수한 숨소리가 가슴을 뜨겁게 울릴 것이다.소설은 훗날 성장한 엘리오가 그해 여.."
37,38,눈먼 자들의 도시 (100쇄 기념 에디션),주제 사라마구,"노벨문학상 수상 작가 주제 사라마구의 대표작 『눈먼 자들의 도시』 100쇄 기념 스페셜 에디션“가장 두려운 것은 오직 나만이 볼 수 있다는 사실이다”주제 사라마구, 인간성의 본질을 묻다!눈먼 자들을 가둔 수용소와 이름없는 도시를 배경으로 인간성의 근원적인 본질에서 가치와 존재, 현대 문명, 인간 사회를 조직화한 정치 권력 구조 비판등을 표현했다. 권력과 폭력에 둘러싸여 무력하기 짝이 없는 한 개인과 사회에 대한 은유인 백색 실명 상태에 빠진 눈먼 자들을 통해 현대 사회의 인간됨에 대해 끊임없는 의문을 제기하는 한편, '인간성'에 대한 긍정을 놓치지 않고 있다.한 도시에 갑자기 눈앞이 뿌옇게 안 보이는 `실명’ 전염병이 퍼진다. 첫번째 희생자는 신호가 바뀌기를 기다리며 차를 운전하던 사람. 그는 안과 의사에게.."
38,39,아라비안 나이트,작자 미상,"알라딘과 지니, 신밧드, 알리바바의 오리지널 이야기!1,001일 밤의 환상적인 이야기를 생동감 넘치는 일러스트와 함께 만나다알라딘, 지니, 알리바바, 신밧드… 『아라비안 나이트』 이야기를 들어보지 못한 사람은 거의 없을 것이다. 용감한 셰에라자드가 잔혹한 샤리아르 왕에게 1,001일 동안 매일 밤마다 매력적인 이야기를 들려주기 때문에 ‘천일야화千一夜話’라고도 불린다. 그렇지만 이 방대한 이야기의 원작을 조금이라도 제대로 읽어본 독자는 얼마 없을 것이다. 『아라비안 나이트』는 원래 아랍에서 전해지는 작자 미상의 이야기들을 한데 모은 책이다. 그렇기에 분량이 많고, 읽다 보면 비슷비슷한 이야기들이 나와 지루한 감이 있다. 그래서 이 책에서는 독자들이 가장 궁금해 하고 재미있게 읽을 수 있는 「알라딘과 요술램프」.."
39,40,잘못은 우리 별에 있어,존 그린,"영화 ‘안녕, 헤이즐’ 원작 베스트셀러〈잘못은 우리 별에 있어〉 하드커버 에디션 출간말기 암 환자인 열여섯 소녀 헤이즐은 종양이 폐에 전이된 후 늘 산소공급기를 상비해야 하는 처지다. 헤이즐은 엄마의 권유로 암 환자들이 서로 아픔을 나누고 격려하는 취지의 환우 모임에 참가하고 있지만 별다른 흥미를 느끼지 못한다. 유일하게 대화가 통하는 상대는 아이작이란 이름의 소년. 아이작은 안암으로 한쪽 눈을 적출했고, 곧 수술을 받고 나면 다른 눈까지 잃게 될 상황이다. 어느 날 아이작은 골육종을 앓고 있는 친구 어거스터스를 모임에 데려온다. 그는 헤이즐에게서 눈을 떼지 못하고, 헤이즐 역시 호리호리한 몸매에 파란 눈을 가진 그에게 호감을 느낀다. 어거스터스는 촉망받는 농구 선수였지만 어느 날 골육종 진단을 받고 일주일.."
40,41,가재가 노래하는 곳,델리아 오언스,"다양한 생명이 숨 쉬지만 인간이 살아가기에는 가혹한 환경에 홀로 남겨진 소녀의 이야기!평생 야생동물을 연구해온 생태학자 델리아 오언스가 일흔이 가까운 나이에 펴낸 첫 소설 『가재가 노래하는 곳』. 미국 남부의 노스캐롤라이나주 아우터뱅크스의 해안 습지를 배경으로 마을의 인기 스타 체이스 앤드루스의 살인사건과 문명의 수혜를 받지 못한 채, 습지에서 홀로 살아남은 여자아이 카야 클라크의 성장담을 한 줄기로 엮어낸 작품이다.어느 가을 아침, 마을의 인기 스타 체이스 앤드루스가 노스캐롤라이나 해변의 습지에서 시체로 발견된다. 마을 주민들의 의심은 습지에서 홀로 살아남은 여자아이, 카야 클라크에게 향한다. 사람들은 카야를 야만인이라 여겼지만 실상은 달랐다. 오랫동안 자연을 벗 삼아 삶의 교훈을 스스로 깨친 카야는 누구.."
41,42,디어 에번 핸슨,"밸 에미치, 스티븐 레번슨, 벤지 파섹, 저스틴 폴","따뜻한 위로와 희망을 담은 소설로 만나는 세계적인 뮤지컬 《디어 에번 핸슨》!2017년 토니상 6개 부문, 2018년 그래미 어워드를 수상하며 명실공히 현존하는 최고의 뮤지컬로 자리 잡은 《디어 에번 핸슨》을 소설로 만난다. 영화 《라라랜드》와 《위대한 쇼맨》으로 유명한 작곡 팀인 벤지 파섹과 저스틴 폴이 만든 뮤지컬로, 가사 작업을 하는 벤지 파섹이 고교 시절에 겪은 사건을 바탕으로 한 이야기를 뛰어난 작가이자 싱어송라이터, 배우인 밸 에미치가 특유의 시적 감수성으로 공감을 불러일으키는 소설로 재탄생시켰다.이 작품은 사회불안장애를 겪고 있는 외톨이 고등학생 에번 핸슨이 동급생 코너의 죽음에 얽히게 되면서 벌어지는 이야기를 담고 있다. 새 학기 첫날도 어김없이 투명 인간처럼 보내게 된 주인공 에번. 혼자 컴.."
42,43,편지,히가시노 게이고,"“우리도 행복해질 수 있는 날이 올까?”240만 독자들의 찬사를 받으면서 스테디셀러로 자리 잡은 히가시노 게이고의 『편지』. 국내에서 출간된 지 약 10년 만에 리커버 에디션으로 독자들을 찾았다.『편지』는 2006년 11월 영화 개봉을 계기로 문고판이 출간되면서, 출간 한 달 만에 130만 부라는 일본 출판 역사상 경이로운 기록으로 베스트셀러에 올랐으며 기노쿠니야 서점에서 5주 연속 종합 1위, [아마존재팬] 문학 부분에서 6주 연속 1위를 기록하며 큰 인기를 누린 작품이다. 영화도 입소문을 듣고 찾아온 관객으로 붐벼 일본에서 『편지』 붐을 이끌어내기도 했다. 두 번의 뮤지컬화, 연극화가 되었으며 최근에는 일본 인기 탤런트 카메나시 카즈야 주연으로 드라마화되는 등 .."
43,44,체리새우: 비밀글입니다,황영미,"제9회 문학동네청소년문학상 대상 수상작내가 나 자신으로 있을 수 있는 곳은 어디일까관계의 피로함에 지친 모두를 위한 이야기, 드디어 '전체 공개'문학동네청소년문학상이 9회를 맞았다. 제1회 수상작 『불량 가족 레시피』부터 지난해 『세계를 건너 너에게 갈게』에 이르기까지, 오늘날 청소년들과 호흡하는 소설을 폭넓게 발굴해 온 문학동네청소년문학상 공모전의 아홉 번째 수상작은 황영미 작가의 『체리새우: 비밀글입니다』. 관계의 굴레와 스트레스에서 벗어나 스스로를 있는 그대로 사랑하기까지 다현이의 여정이 담겼다. 교실에서 펼쳐지는 복잡하고 미묘한 관계의 풍경, 그러한 관계를 겪어 내는 중2 화자의 목소리가 너무도 생생하여 심사위원들을 놀라게 한 작품이다. 사람들은 나를 어떻게 생각하고 있을까, 나는 지금 어떻게 보일까.."
44,45,가면생활자,조규미,"마스크는 나를 치유할 선물일까? 악마의 검은 속삭임일까?푸른문학상 새로운 작가상, 건대창작동화상 수상작가 조규미의 첫 장편소설 『가면생활자』. 근미래를 배경으로 사용자의 얼굴에 따라 변화하여 최상의 모습을 만들어주는 특별한 마스크를 둘러싼 거대 기업의 음모와 우연히 사건에 휘말린 십대들의 이야기를 담은 소설이다. 자본주의 사회의 비인간성, 기술과 윤리의 문제까지 생각을 확장시키는 SF소설로, 기술적 내용을 현란하게 묘사학보다 청소년들의 보편적인 고민을 입체적인 캐릭터의 활약으로 흥미롭게 풀어낸다.초대형 글로벌 기업 아이마스크 사는 특수 물질을 사용한 마스크를 개발한다. 마스크를 쓴 가면생활자는 곧 특별한 신분을 상징하게 되는데, 이들은 엄청난 금액의 가면을 쓰고 도시 중심부에 있는 비밀스러운 공간, 화려한 .."
45,46,책상은 책상이다,페터 빅셀,"우리 사회가 요구하는 상식이란 무엇이고, 그 상식에 맞춰 살아간다는 것은 무엇인가?소통의 부재, 관계의 단절로 세상에 적응하지 못하는 현대인의 모습을 기발한 상상력으로 통찰하는 페터 빅셀의 일곱 가지 이야기 『책상은 책상이다』. 세상과 소통이 단절되거나 자기만의 방에서 나오지 않는 사람들, 신념과 진실에 함몰되어 다른 것을 수용하지 못한 채 시대의 흐름에 편승하지 않는 사람들의 이야기를 담은 스위스 국민작가의 대표 단편집이다. 2001년에 출간된 《책상은 책상이다》를 새로 단장한 이 책은 서정적이면서도 상상력을 자극할 수 있는 새 일러스트를 삽입해 소설의 재미와 감동을 좀 더 생생하게 느낄 수 있도록 구성했다. 지구가 둥글다는 사실을 확인하기 위해 돌아오지 못할 길을 떠나는 남자, 기존의 언어 체계에 답답함.."
46,47,미스터 션샤인 2,"김은숙, 김수연","2018 화제의 드라마<미스터 션샤인> 소설 2권 출간! 조국을 지키고 싶었던 한 여인과그 여인을 지키고 싶었던 세 남자그들의 찬란하고 숭고한 사랑과목숨을 걸어 지키고 싶었던 것에 대한 대서사시이루어질 수 없는 애달픈 사랑, 한 여인을 둘러싼 세 남자의 간절한 마음, 격변의 개화기에 이름 없이 조국을 지켰던 의병들의 뜨거운 분투로 시청자의 마음을 사로잡은 드라마 <미스터 션샤인>.이제는 그 이름 자체로 하나의 브랜드가 된 김은숙 작가의 신작답게 매회 시청률을 갱신하며 2018년을 대표하는 드라마로 자리매김했다. 소설 《미스터 션샤인 2》는 일본의 조선 침략이 노골화되는 시점을 배경으로 이야기를 이어간다. 본격적으로 진행되는 의병들의 투쟁과 점점 더 깊어지는 애신과 유진의 마음, 그들을 .."
47,48,미스터 션샤인 1,"김은숙, 김수연","격변의 조선 밤하늘에 수놓은쓸쓸하고 애틋한 모던 연애사검은 머리 미군과 총을 든 애기씨 대사와 호흡에 미처 담지 못한 그들의 내밀한 이야기2018 화제의 드라마 <미스터 션샤인> 소설 출간!격변의 조선 밤하늘에 수놓은 쓸쓸하고 애틋한 모던 연애사검은 머리 미군과 총을 든 애기씨 대사와 호흡에 미처 담지 못한 그들의 내밀한 이야기이제는 그 이름 자체로 하나의 브랜드가 된 김은숙 작가의 신작, 매 화 방송마다 큰 화제를 불러일으킨 드라마 <미스터 션샤인>이 소설로 출간되었다.<미스터 션샤인>은 격변의 개화기에 조선의 정신적 지주가 되었던 고씨 가문의 애기씨 애신과 차가운 이방인으로 돌아온 검은 머리의 미군 유진 초이의 애틋한 이야기로 많은 사랑을 받으며 동시간대 시청률 1위를 거.."
48,49,건지 감자껍질파이 북클럽,"메리 앤 섀퍼, 애니 배로스",2009년 미국 소설 베스트셀러 4위!2008년 아마존·뉴욕타임스 베스트셀러 1위!2008년 워싱턴 포스트 “BEST BOOKS”미국·프랑스·호주 등 전 세계 30여 개국에서 베스트셀러!2018년 전 세계 26여 개 국가에서 영화 개봉! 국내 2018년 8월 10일 넷플릭스 개봉! 영국해협에 위치한 채널제도의 건지 섬은 제2차 세계대전 당시 유일하게 독일에 점령되었던 영국의 영토. 《건지 감자껍질파이 북클럽》은 이 시기를 버텨낸 건지 섬 사람들의 이야기를 편지글 형식으로 그린 소설이다. 런던에 사는 주인공 줄리엣은 우연한 편지로 인해 일면식도 없던 건지 섬 사람들의 삶 속을 들여다보게 된다. 줄리엣이 이들과 주고받는 편지를 통해 특별할 것 없는 보통 사람들이 고난의 시기에도 작은 즐거움과 희망을 통해 삶의 ..
49,50,모스크바의 신사,에이모 토울스,"세련되고 우아한 태도, 인간적 매력으로 무장한 채 메트로폴 호텔을 찾는 사람들의 마음을 사로잡는 백작!버락 오바마 전 미국 대통령이 2017년 추천도서로 소개해 화제가 된 에이모 토울스의 소설 『모스크바의 신사』. 40대의 다소 늦은 나이에 첫 장편소설 《우아한 연인》을 발표하며 고전 문학을 연상시키는 작풍, 현대적이고 세련된 분위기, 매력 있는 등장인물을 잘 접목시킨 작품으로 상업적 성공과 문학적 성취를 모두 이뤄내며 괴물 신인으로 주목받은 저자가 4년 만에 발표한 두 번째 소설이다.두 번의 혁명 이후 1920년대 러시아, 서른세 살의 알렉산드로 로스토프 백작은 모스크바의 메트로폴 호텔을 벗어날 경우 총살형에 처한다는 종신 연금형을 선고받는다. 프롤레타리아의 시대에서 제거되어야 마땅한 신분이지만 혁명에 동.."
50,51,해리 포터 시리즈 호그와트 라이브러리 세트,J.K. 롤링,"J.K. 롤링, 〈해리 포터〉의 세계를 업그레이드하다새롭게 추가한 내용과 더욱 아름다운 일러스트로 재단장한 해리 포터의 책장!전 세계 4억 5000만 부 이상 판매, 79개 언어 번역, 8편의 블록버스터 영화 제작이라는 기록을 남긴 전설적 베스트셀러 〈해리 포터〉 시리즈의 참고 도서 《신비한 동물 사전》, 《퀴디치의 역사》, 《음유시인 비들 이야기》가 새 옷을 입었다. 3권 모두 더욱 아기자기하고 화려한 일러스트로 본문과 표지를 재단장했으며, 《신비한 동물 사전》은 특별히 새로운 동물 6종과 가상의 저자 뉴트 스캐맨더의 개정판 서문을 새롭게 수록했다. 2016년 개봉한 〈신비한 동물사전〉 영화로 또 하나의 프랜차이즈를 창조하며 무한한 확장 가능성을 입증한 〈해리 포터〉 세계를 더욱 다채롭게 즐기게 하는 이 .."
51,52,원더,R. J. 팔라시오,"헬멧을 벗고 세상 밖으로 나온 소년, 어거스트!어린이, 청소년을 위한 동화 《아름다운 아이》로 출간되어 많은 사랑을 받았던 『원더』를 성인 독자들을 위한 양장 특별판으로 선보인다. 영화 《원더》의 원작소설로, 선천적 안면기형을 갖고 태어나 헬멧 속에 자신을 숨겼던 열 살 소년 어거스트가 처음으로 학교에 들어간 후 겪는 1년간의 사건사고를 통해 세상의 편견에 맞서며 진짜 자신을 마주하는 용기를 전한다.태어났을 때는 하룻밤도 넘기기 힘들다는 말을 들었지만 열 살이 될 때까지 스물일곱 번의 수술을 받으면서 꿋꿋이 살아남은 어거스트. 선천적 안면기형인 얼굴을 제외하고는 가족의 풍부한 사랑을 받으며 자란 평범한 소년이다. 그런 어거스트에게 커다란 변화가 찾아온다. 언제나 부모의 보호 속에서만 자라게 할 수 없다는 엄.."
52,53,플립,웬들린 밴 드라닌,"영화 [플립] 원작 소설. 두 주인공이 7살부터 13살까지 성장기를 보내며 겪는 이야기들을 다룬 작품이다. 괴짜 소녀 줄리와 외모만 번듯한 소심 소년 브라이스, 이 두 주인공이 마치 일기를 쓰듯 각자의 속마음을 번갈아 서술하는 1인칭 시점으로 이야기가 진행된다. 나무 타기를 즐기는 만능 우등생 소녀 줄리는 앞집에 이사 온 푸른 눈동자의 브라이스에게 첫눈에 반하고 적극적으로 자신의 마음을 전한다. 하지만 출중한 외모 말고는 내세울 것 없는 소심남 브라이스는 줄리를 일생일대의 위협으로 여겨 밀어내기에 급급하다. 그렇게 브라이스는 자그마치 6년 동안 줄리를 피하고 도망 다닌다. 그러던 어느 날, 줄리가 선물한 달걀을 내다 버리던 브라이스의 만행이 발각되면서 둘의 관계는 역전된다. 줄리는 세상에서 가장 멋진 푸른 .."
53,54,도가니,공지영,"2009년 출간된 이래 큰 파장을 일으키며 사회적 약자와 소수자에 대한 폭력 문제를 본격적으로 공론화했던 장편소설 『도가니』가 2017년 100쇄를 기념하여 새로운 장정으로 출간되었다. 이 소설은 출간 전 인터넷 연재 시 조회수 1,100만을 넘을 만큼 독자들의 큰 사랑을 받았고 지금까지 83만부라는 판매고를 올리며 출간 후 8년이 지난 현재까지도 독자들에게 꾸준히 사랑받고 있다. 소설 『도가니』는 2011년 개봉한 동명의 영화로 재조명되며 큰 사회적 이슈를 불러일으켰다. 그후 2011년 10월 일명 ‘도가니법’(‘성폭력 범죄의 처벌 등에 관한 특례법 개정안’) 국회통과를 이끌어내며 우리 사회에 다시금 경종을 울린 『도가니』는 예리한 통찰력과 속도감 있는 문장으로 현실의 부조리를 파헤쳐온 작가 공지영의 명실.."
54,55,옥수수 뺑소니,박상기,"다시 한 번 책과 가까워지고 문학을 좋아하게 될 기회를 전하다!문학적으로 뛰어난 단편소설에 풍성한 일러스트를 더한 새로운 소설 읽기 시리즈 「소설의 첫 만남」 제4권 『옥수수 뺑소니』. 흥미로운 이야기와 100면 이내의 짧은 분량, 매력적인 삽화를 통해 책 읽기를 낯설어하는 독자들도 동시대의 좋은 작품에 부담 없이 접근할 수 있도록 구성한 이번 시리즈는 문학과 점점 멀어진 이들이 다시 책과 가까워질 수 있게끔 돕는 마중물 역할을 하면서 우리의 독서 문화에 신선한 활력을 불어넣고자 한다.박상기 작가의 청소년소설 『옥수수 뺑소니』. 제5회 창비어린이 신인문학상을 수상한 소설로서 빼어난 완성도가 돋보이는 작품이다. 두 번의 교통사고를 연달아 당한 뒤 상황에 떠밀려서 거짓말을 하게 된 주인공 현성이의 이야기가 담겼.."
55,56,남한산성,김훈,"그해 겨울, 성 안에서는 무슨 일이 벌어졌나김훈 특유의 냉혹하고 뜨거운 말로 치욕스런 역사의 한 장면을 보여주는 소설 『남한산성』. 2007년 펴낸 초판 이후 저자가 십 년의 세월을 지나 비로소 털어놓는 ‘못다 한 말’을 담고, 화가 문봉선의 그림을 수록하고, 새 옷을 갈아입은 개정판으로 만나본다. 병자호란 당시, 길이 끊겨 남한산성에 갇힌 무기력한 인조 앞에서 벌어진 주전파와 주화파의 다툼, 그리고 꺼져가는 조국의 운명 앞에서 고통 받는 민초들의 삶이 소설의 씨줄과 날줄을 이루어, 치욕스런 역사를 보여준다.1636년 병자년 겨울. 청의 대군은 압록강을 건너 서울로 진격해 오고, 조선 조정은 길이 끊겨 남한산성으로 들 수밖에 없었다. 소설은 1636년 12월 14일부터 1637년 1월 30일까지 47일 동안.."
56,57,삼생삼세 십리도화,당칠공자,"세 번의 삶, 그리고 단 하나의 사랑!2017년 58부작으로 제작되어 중국 현지에서 경이로운 인기를 이어가고 있는 중국 드라마 《삼생삼세 십리도화》의 원작 소설 『삼생삼세 십리도화』. 중국의 고유한 세계관에서 영감을 얻어 탁월한 상상력과 섬세하고 우아한 필치로 자신만의 작품 세계를 구축한, 저력 있는 신예 작가 당칠공자의 「삼생삼세 시리즈」가운데 첫 작품이다. 중국 고서 《산해경》에서 소재를 빌려왔고, 불교의 인과 사상과 환생, 도교의 신선 개념이 혼합된 독특한 세계관을 기본으로 하며 중국 고대 전설과 신화까지 녹아 있는 작품이다.수많은 신들이 쇠락하고 몇몇 신족만이 평화롭게 사는 가운데, 오만 살의 철부지 신선 백천은 수련을 위해 남장을 하고 ‘사음’이라는 이름으로 전쟁의 신 묵연의 제자로 들어간다. 사음.."
57,58,너의 췌장을 먹고 싶어,스미노 요루,"잔혹한 비밀을 가진 소녀와 임시 친구 계약을 맺은 소년의 이야기!2016년 일본 서점 대상 2위에 오른 스미노 요루의 첫 소설이다. 시한부 선고를 받은 소녀와 함께한 어느 소년의 이야기를 그리고 있다. ‘요루노 야스미’라는 필명으로 소설 투고 웹사이트 〈소설가가 되자〉에 원고를 올리기 시작한 것이 이 작품의 시작이었다.처음에는 파격적인 타이틀로 눈길을 끌었지만 결말이 정해진 이야기임에도 불구, 섬세한 문체와 이야기를 끌고 가는 작가의 필력이 대단하고 무엇보다 재미있다는 평가를 받으며 입소문을 타기 시작했다. 이후 출판사 편집자의 눈에 띄어 책으로 출간되었고, 작가는 어마어마한 주목을 받으며 일본 문단에 등장하게 되었다.자의적인 은둔형 외톨이 남학생 ‘나’는 우연히 초긍정 인기 만점 동급생인 사쿠라의 〈공병문.."
58,59,너의 췌장을 먹고 싶어,스미노 요루,"잔혹한 비밀을 가진 소녀와 임시 친구 계약을 맺은 소년의 이야기!2016년 일본 서점 대상 2위에 오른 스미노 요루의 첫 소설이다. 시한부 선고를 받은 소녀와 함께한 어느 소년의 이야기를 그리고 있다. ‘요루노 야스미’라는 필명으로 소설 투고 웹사이트 〈소설가가 되자〉에 원고를 올리기 시작한 것이 이 작품의 시작이었다. 처음에는 파격적인 타이틀로 눈길을 끌었지만 결말이 정해진 이야기임에도 불구, 섬세한 문체와 이야기를 끌고 가는 작가의 필력이 대단하고 무엇보다 재미있다는 평가를 받으며 입소문을 타기 시작했다. 이후 출판사 편집자의 눈에 띄어 책으로 출간되었고, 작가는 어마어마한 주목을 받으며 일본 문단에 등장하게 되었다.자의적인 은둔형 외톨이 남학생 ‘나’는 우연히 초긍정 인기 만점 동급생인 사쿠라의 〈공병.."
59,60,도깨비 2,"김은숙, 김수연","“너와 함께한 모든 시간들이 눈부셨다. 날이 좋아서, 날이 좋지 않아서, 날이 적당해서, 모든 날이 좋았다.""김은숙 작가 특유의 감각적인 대사와 생생한 캐릭터 묘사에 섬세한 감정의 결이 더해진 소설 『도깨비』 제2권. 도깨비의 탄생부터 그 탄생의 배경, 이와 관련된 전생과 현생, 도깨비 신부, 저승사자 등 여러 인물들의 인연과 운명, 삶과 죽음, 선택이라는 삶에 대한 다양한 이야기들을 전하며 매회 화제를 불러일으킨 TVN 드라마 《도깨비》의 원작소설이다. 드라마 이면에 자리한 등장인물들의 숨은 이야기를 통해 읽는 즐거움과 드라마와는 또 다른 감동을 선사한다.자신이 지키던 주군의 칼날에 죽었으나 상인지 벌인지 모를 신의 계시로 심장에 검이 꽂힌 채 불멸을 살아가게 된 남자 김신. 도깨비 신부만이 검을 뽑을 수.."
60,61,동급생,프레드 울만,"프레드 울만의 작은 걸작 『동급생』 드디어 출간나치즘과 홀로코스트의 시대를 다룬 소설 중에서 가장 유명하고 지금까지 널리 읽히는 책의 하나인 『동급생』이 열린책들에서 출간되었다. 『동급생』은 1930년대 독일 슈투트가르트를 배경으로 유대인 소년과 독일 귀족 소년의 우정을 그린 프레드 울만의 소설이다. 작가 아서 케스틀러가 [작은 걸작]이라 평가하며 찬사를 아끼지 않았고, 아카데미 프랑세즈 회원이자 『르 피가로』 주필이었던 장 도르메송이 [눈물을 펑펑 쏟으며 울었다]고 고백한 바 있다.이 작품은 사춘기 두 소년이 우정을 형성해 가는 과정을 생동감 있게 묘사했다. 독일 서남부 지역의 아름다운 풍경 속에서 펼쳐지는 두 소년의 우정 이야기는 히틀러와 나치즘이 대두하는 시대.."
61,62,도깨비 1,"김은숙, 김수연","“너와 함께한 모든 시간들이 눈부셨다. 날이 좋아서, 날이 좋지 않아서, 날이 적당해서, 모든 날이 좋았다.”김은숙 작가 특유의 감각적인 대사와 생생한 캐릭터 묘사에 섬세한 감정의 결이 더해진 소설 『도깨비』 제1권. 도깨비의 탄생부터 그 탄생의 배경, 이와 관련된 전생과 현생, 도깨비 신부, 저승사자 등 여러 인물들의 인연과 운명, 삶과 죽음, 선택이라는 삶에 대한 다양한 이야기들을 전하며 매회 화제를 불러일으킨 TVN 드라마 《도깨비》의 원작소설이다. 드라마 이면에 자리한 등장인물들의 숨은 이야기를 통해 읽는 즐거움과 드라마와는 또 다른 감동을 선사한다.자신이 지키던 주군의 칼날에 죽었으나 상인지 벌인지 모를 신의 계시로 심장에 검이 꽂힌 채 불멸을 살아가게 된 남자 김신. 도깨비 신부만이 검을 뽑을 수.."
62,63,시그널 1,김은희,"간절함이 보내온 신호, 드라마를 그대로 옮겨 놓은 대본집!한국형 범죄 수사 드라마의 신기원을 이룬 《시그널》 대본집 제1권. 오래된 무전기 하나로 30년의 시간을 넘나들며 미제 사건을 해결해 나가는 스릴러 장르의 드라마이다. 드라마 시그널의 대사들은 우리의 일상을 절절히 반영해 내었다. 대본집에 담긴 주옥같은 대사들을 통해 다시 한 번 드라마의 진한 감동을 되살려 본다. 드라마를 보면서 궁금했던 점을 다시금 되뇌여 그 참뜻을 이해하고 나면 더욱 큰 재미와 감동을 느낄 수 있다. 드라마를 접하지 않은 이들은 밀도 높은 스토리에 빠져 들게 되고, 드라마를 사랑한 이들에게는 가슴속에 오래 간직할 수 있는 또 다른 여운을 선사할 것이다."
