,순위,title,genre,year,date,rating,vote_count,plot,main_act,,
17,18.0,불안한 사람들,드라마,,,9,221,"『오베라는 남자』로 1300만 독자를 사로잡은 프레드릭 배크만 최신작웃음과 눈물이 황금비율로 녹아든 배크만 필력의 정점!『오베라는 남자』로 전 세계를 사로잡은 감동소설의 대가 프레드릭 배크만이 웃음도 감동도 한층 짙어진 새로운 장편소설 『불안한 사람들』로 돌아왔다. 이 작품은 “역시 배크만은 틀릴 리가 없다” “팬데믹 시대의 불안을 해소해줄 가장 믿음직한 치료제” “공포 속 희망, 비극 속 유머, 혼돈 속 우아함, 웃음 속 눈물이 황홀하게 쏟아져 내린다” 등 열광적인 찬사를 받으며 다시 한번 배크만만이 도달 가능한 독보적인 영역을 증명했다. 또한 출간 즉시 아마존과 뉴욕타임스 베스트셀러에 올랐고, 2020년을 마감하며 아마존 올해의 책 소설 TOP 2, 굿리즈, 내셔널 퍼블릭 라디오, 스토리텔 어워드 등 여..",프레드릭 배크만,,
18,19.0,프로젝트 헤일메리,드라마,,,9,221,"“이름도 기억 못하는 내가 인류의 희망이라니?”멸망 위기의 지구 구하기 프로젝트!‘헤일메리HAIL MARY’는 미식축구 용어로, 경기 막판에 역전을 노리고 하는 패스에서 유래한 말이다. 작품 속 우주선의 이름인 ‘헤일메리호’도 지구를 종말로부터 구하기 위한 마지막 역전을 바라는 마음에 지어졌다. 주인공이 긴 수면 끝에 눈을 뜬 곳은 우주 한복판이었다. 하지만 그는 자신의 이름조차 기억하지 못한다. 설상가상으로 함께 우주선 헤일메리호에 탄 동료들은 모두 죽고 혼자가 된 상황이다. 헤일메리호를 샅샅이 뒤진 끝에, 그는 한 가지 사실을 깨닫는다. 그는 인류를 구할 마지막 희망이자, 우주 한복판에서 죽을 예정인 과학자였다는 것을. 소설 속 지구는 태양의 온도를 떨어트리는 미지의 생명체 ‘아스트로파지’ 로 인해 멸망..",앤디 위어,,
19,21.0,호랑이를 덫에 가두면,드라마,,,6,1,"2021년 뉴베리상 대상 수상작!한국계 작가 태 켈러, 아동문학의 노벨상 ‘뉴베리상’ 수상!「해님 달님」, 마법 호랑이, 강인한 한국 여성들의 이야기“할머니, 이야기 하나 해 주세요.”할머니는 웃음을 머금고 깊은 숨을 한 번 쉰 다음, 한국식 “옛날 옛날에”로 이야기를 시작했다.“옛날 옛날에, 호랑이가 사람처럼 걷던 시절에……”‘조아여’(조용한 아시아 여자애) 릴리,병든 할머니를 위해 ‘마법 호랑이’와 대결하다!한국계 여성 작가 태 켈러(27)가 쓴 2021년 뉴베리상 대상 수상작 『호랑이를 덫에 가두면』(원제: WHEN YOU TRAP A TIGER, 2020)이 돌베개에서 출간되었다. 이미 한국에도 출간된 데뷔작 『깨지기 쉬운 것들의 과학』이 그랬듯, 태 켈러는 이번에도 사랑하는 가족을 위해 모험에 뛰어..",태 켈러,,
20,22.0,불편한 편의점,드라마,,,6,1,"※ 인터넷 한정 특별판: 매장 구매, 바로드림 구매 시에는 다른 표지의 에디션으로 제공됩니다.원 플러스 원의 기쁨, 삼각김밥 모양의 슬픔, 만 원에 네 번의 폭소가 터지는 곳!힘겨운 시대를 살아가는 우리들에게 다가온 조금 특별한 편의점 이야기누적 판매 40만부 돌파, 2022년 가장 사랑받는 소설★★★전 서점 종합베스트 1위, 2021 올해의 책,★★★국립중앙도서관 사서추천도서, 해외 6개국 판권 수출김호연 작가의 장편소설 『불편한 편의점』이 누적 판매 40만부 돌파를 기념하여 벚꽃 에디션으로 새 단장 했습니다. 2021년 4월에 출간되어 전 연령층의 폭넓은 공감을 얻으며 소설 읽기 바람을 일으킨 『불편한 편의점』의 열기는 지금도 현재진행형입니다. “읽는 내내 마음이 따뜻하고 먹먹했다” “눈가에 미소와 눈물..",김호연,,
21,23.0,달까지 가자,드라마,,,9,221,"월급만으로는 부족해!우리에겐 일확천금이 필요하다!『일의 기쁨과 슬픔』 장류진의 첫 장편직장인 공감백배 하이퍼리얼리즘 소설첫 소설집 『일의 기쁨과 슬픔』(창비 2019)으로 평단의 주목과 독자의 환호를 동시에 받은 소설가 장류진이 첫 장편소설 『달까지 가자』를 야심차게 선보인다. “2020년대를 이끌어갈 한국문학의 얼굴”, 문단의 “대형 신인” 등의 찬사를 받은 장류진의 이번 작품은 생생한 인물 묘사와 속도감 있는 전개로 연재 당시(2020~21년 3월 창비 〈문학3〉 웹진과 ‘스위치’)부터 이삼십대 젊은 독자들의 열띤 호응을 얻었다. 특히 단순한 현실 반영이 아니라 작가적이고 개성적인 현실의 구축을 꿈꾼 ‘하이퍼 리얼리즘’이라 평가받는 장류진의 현실감 넘치는 배경 설정과 대사는 한층 더 구체적이고 섬세해졌다..",장류진,,
22,24.0,제12회 젊은작가상 수상작품집,드라마,,,6,1,"“누구도 아닌 자기 자신이 되려고 하는 문학적 의욕”그 열망을 감지하게 하는 일곱 편의 강렬하고 신선한 성취 한국문학과 독자를 잇는 단단한 가교 역할을 하며 지금의 한국문학장을 생기롭게 만드는 젊은작가상이 올해로 12회를 맞았다. 각자의 자리에서 치열하게 작품을 써내고 있는 등단 십 년 이하의 작가들을 격려하고 독자에게는 무한한 가능성을 간직한 소설의 씨앗을 전달하는 매개가 되기 위해 제정된 젊은작가상은 지난해까지 모두 마흔일곱 명에 이르는 새로운 얼굴들을 소개하며 그 씨앗이 풍성한 열매를 맺는 과정 또한 독자와 함께해왔다. 해를 거듭할수록 젊은작가상을 향한 관심과 응원이 뜨거워지는 만큼 상이 지닌 무게를 깊이 헤아리게 되는 올해, 젊은작가상에 이름을 올린 수상 작가는 전하영..","전하영, 김멜라, 김지연, 김혜진, 박서련",,
23,25.0,클라라와 태양,드라마,,,6,1,"노벨문학상 수상 이후 처음으로 발표하는 거장 가즈오 이시구로의 장편소설전 세계가 손꼽아 기다려 온 기적처럼 놀랍고 아름다운 신작!2017년 노벨 문학상을 수상하며 명실상부 현대 영문학을 대표하는 최고의 작가로 꼽힌 작가 가즈오 이시구로가 노벨상 수상 이후 최초로 장편소설을 발표했다. 2021년 3월 3일 영국에서 가장 먼저 출간된 이 책은 현재 30개국에 판권이 팔려 미국 캐나다 호주 일본 등에서 연달아 출간되고 있으며, 한국에서는 민음사를 통해 출간되었다.전 세계 독자가 손꼽아 기다려 온 이번 작품 『클라라와 태양』은 인공지능 로봇과 한 소녀의 이야기를 담았으며, 출간 즉시 언론의 격찬과 독자들의 열광 속에 영국 베스트셀러 1위, 미국 《뉴욕 타임스》베스트셀러 3위, 호주 1위, 캐나다 2위에 올랐다. 또..",가즈오 이시구로,,
24,26.0,순례 주택,드라마,,,6,1,"한국어린이도서상, IBBY 어너리스트 수상작가 유은실의 신작 청소년 소설『순례 주택』. 코믹 발랄한 캐릭터 설정과, 순례 주택을 둘러싼 한바탕 대소동은 기발하면서도 유쾌하다. 약간은 막 가는 수림이네 네 식구가 쫄딱 망한 뒤, 돌아가신 외할버지의 옛 여자친구의 빌라‘순례 주택’으로 이사 들어가면서 벌어지는 이야기이다. 솔직하지 못한 엄마, 누군가에게 얹혀사는 데 일가견 있는 아빠, 라면은 끓일 줄 모르고 컵라면에 물만 겨우 부을 줄 아는 고등학생 언니까지, 졸지에 망한 수림이네 가족은 평소 업신여기던 순례 주택으로 이사 오게 된다. “온실 밖으로 나와 세상에 적응하게끔” 훈련시켜 주려는 순례 씨의 원대한 계획이 시작된 것이다. 자기 힘으로 살아 보려고 애쓰는 순례 주택에 세 들어 사는 사람들 사이에서 수림이..",유은실,,
25,27.0,듄 1,드라마,,,6,1,"사자 왕조와 랜드스라드 대가문, 우주 조합의 결합으로 새로운 시대가 개막된 지 1만여 년 후. 칼라단 행성을 다스리던 아트레이데스 가문은 황제의 명령과 대가문의 지지를 받아 듄이라고 알려진 사막의 행성, 아라키스로 떠날 준비를 한다. 아라키스는 예지력과 통찰력을 부여하는 '멜란지'의 유일한 생산지로, 아트레이데스 가문의 수장 레토 공작은 이것을 가문의 세력을 다지고 확장하는 기회로 삼으려 한다. 그리고 그들이 칼라단으로 떠나기 며칠 전, 비밀에 싸인 베네 게세리트 집단의 대모가 찾아와 레토 공작의 아들 폴을 시험한다. 무시무시한 시험을 이겨낸 폴에게 대모는 그가 어쩌면 네 게세리트 집단이 기다리던 '퀴사츠 해더락'일지도 모른다는 말을 남기며 떠난다.물 한 방울 없는 사막 행성, 아라키스에 도착한 아트레이데스..",프랭크 허버트,,
26,28.0,듄 1-6 세트,드라마,,,6,1,"""『듄』에 견줄 수 있는 건 『반지의 제왕』 외에는 없다."" -아서 C. 클라크1965년 네뷸러 문학상 제정 첫 수상작, 1966년 휴고 상 수상작.역사상 가장 많이 팔린 SF이자 독자들이 뽑은 역대 최고의 SF역사상 가장 많이 팔린 SF이자 독자들이 뽑은 역대 최고의 SF인 프랭크 허버트의 대작 『듄』이 신장판 전집으로 황금가지에서 출간되었다. 2001년 첫 번역본이 출간된 이후 20년 만에 재출간된 신장판은, 기존의 18권 반양장본을 원서와 동일한 6권으로 묶은 양장본으로서, 김승욱 역자가 6개월여의 원본 대조 작업을 통해 번역을 새롭게 손본데다, 전집 가격은 20년 전보다 오히려 10% 이상 낮게 책정되었다.『듄』은 지금까지 2000만 부 이상의 판매고를 올리며 전 세계에서 가장 많이 판매된 SF로 알..",프랭크 허버트,,
27,29.0,블랙 쇼맨과  이름 없는 마을의 살인,드라마,,,6,1,"아버지의 장례식이 끝나고 아버지가 등장했다!모이지 말아야 할 자리에서 시작된 기이한 복수극『블랙 쇼맨과 이름 없는 마을의 살인』은 히가시노 게이고의 새로운 시리즈의 첫 번째 작품으로 블랙 쇼맨은 과학 수사를 뛰어넘는 대범한 증거 수집을 토대로 사건을 추리해 나간다. 그러면서 등장인물 저마다 알리고 싶지 않았던 크고 작은 비밀을 단번에 독자들에게 드러낸다. 마치 한 편의 쇼를 기획하는 마술사처럼 살인 사건의 시작부터 진범을 찾을 때까지 독자의 시선을 마술에 홀린 듯 이리저리 흔들며 결말까지 내달리는 서사에 29장의 묵직한 분량이 금세 사라진다. 행복하다고 느끼는 순간, 비극은 시작되는 걸까? 대기업 취직 후 약혼자와 꿈꾸던 결혼식을 준비해 나가던 마요. 경찰서에서 온 한 통의 전화를 받고 그녀는 고향으로 간다..",히가시노 게이고,,
28,30.0,일인칭 단수,드라마,,,9,221,"『노르웨이의 숲』 『1Q84』 『기사단장 죽이기』 등의 작품으로 세대와 국경을 넘어 독보적인 존재감을 발휘하고 있는 세계적인 작가 무라카미 하루키가 『여자 없는 남자들』 이후 6년 만에 선보이는 소설집. 작가 특유의 미스터리한 세계관과 감성적인 필치, 일인칭 주인공 ‘나’의 시점으로 진행되는 작품이라는 공통점을 지닌 단편들을 모았다. 누군가의 삶을 스쳐가는 짧고 긴 만남을 그려낸 여덟 작품 속에서 유일무이의 하루키 월드를 구성하는 다채로운 요소들을 한데 만나볼 수 있다.",무라카미 하루키,,
29,31.0,인생은 소설이다,드라마,,,6,1,"캐리는 어디로 사라졌을까? 그 의문을 풀어줄 비밀의 방문이 열린다!현실과 픽션을 넘나드는 기욤 뮈소의 장편소설 『인생은 소설이다』. 플로라 콘웨이는 현재 세 권의 소설을 발표한 작가지만 데뷔작을 필두로 나머지 두 작품 역시 공전의 히트를 기록하는 한편 최고 권위의 프란츠 카프카 상을 수상해 국제적인 명성을 획득한다. 플로라 콘웨이의 얼굴을 직접 본 사람은 없다. 데뷔 이래 줄곧 언론 노출을 꺼려왔고, 대학교나 서점 등에서 자주 강연 요청을 받았지만 단 한 번도 받아들인 적이 없다. 책표지에 사용하고 있는 젊은 시절 사진 한 장만이 유일하게 플로라의 존재를 증명해줄 뿐이다. 20여 개국에 소설 판권이 팔려나갔을 만큼 플로라의 인기는 상승세를 지속하고 있다. 플로라의 소설을 전담 출판해온 팡틴 드 빌라트가 주도..",기욤 뮈소,,
