,순위,책이름,저자,줄거리
10,11,조화로운 삶,"헬런 니어링, 스콧 니어링","헬렌 니어링과 스코트 니어링은, 미국이 일차 대전을 치르고 대공황의 늪으로 빠져들면서 모두의 안전을 위협하는 1930년대 뉴욕을 떠나 버몬트의 작은 시골로 들어간다. 자연 속에서 서로 돕고 기대며, 자유로운 시간을 실컷 누리면서 저마다 좋은 것을 생산하고 창조하는 삶을 머릿속에 그리고 있었다.두 사람은 조화로운 삶을 살기 위한 원칙을 세운다. 먹고사는 데 필요한 것들을 적어도 절반 넘게 자급 자족한다. 스스로 땀 흘려 집을 짓고, 땅을 일구어 양식을 장만한다. 그럼으로써 이윤만 추구하는 경제에서 할 수 있는 한 벗어난다. 돈을 모으지 않는다. 따라서 한 해를 살기에 충분할 만큼 노동을 하고 양식을 모았다면 돈 버는 일을 하지 않는다. 되도록 다른 사람들과 힘을 합쳐 일을 해낸다. 집짐승을 기르지 않으며, 고.."
11,12,서른살이 심리학에게 묻다,김혜남,"내 인생, 도대체 뭐가 문제인 걸까? 진정 내가 원하는 것은 무엇일까? 내게도 다시 사랑이 올까?서른살의 삶과 사랑, 일에 관하여 이야기한『서른살이 심리학에게 묻다』. 이 책은 인생의 전환기인 30대에 들어선 젊은이들이 느끼는 불안과 자립에 관한 조언을 담고 있다. 갑작스레 어른들의 사회로 던져진 채 느껴야하는 낯설은 감정과 다시는 올 것 같지 않은 사랑에 대한 고민, 직장내에서의 인간관계와 자신의 욕망에 충실하게 대하는 방법 등을 정신과 의사인 저자가 심리학적으로 35가지 테마로 나눠 조언한다. 그리고 왜 서른 살은 마음먹은 만큼 성공할 수 있는지, 왜 더 뜨겁고 간절하게 사랑할 수 있는지, 왜 마음껏 행복해질 수 있는지를 밝힌다. 저자는 서른 살에게 말한다."
12,13,문학의 숲을 거닐다,장영희,"이 세상을 살아간다는 것은 거칠고 숨가쁘지만 얼마나 아름다운 일인지 미려한 문체로 풀어냄으로써, 많은 사람들에게 삶의 복됨과 희망을 일깨워온 서강대학교 장영희 교수. 그가 2001년부터, 척추암 선고를 받고 치료를 위해 연재를 그만두기까지 3년에 걸쳐 조선일보 북칼럼 「문학의 숲, 고전의 바다」에 게재했던 주옥 같은 글들을 엮었다.　생후 1년 때 앓은 척수성 소아마비로 두 다리를 쓰지 못하는 1급 장애인이며, 두 번에 걸쳐 암선고를 받고 투병해온 사람으로 믿어지지 않을 만큼 그의 글에는 삶에 대한 긍정과 발랄한 유머, 이웃에 대한 사랑이 묻어난다. 저자는 이 책에서 자신은 책을 통해 살아가는 법을 배웠다고 고백하고, 그 문학의 숲을 함께 거닐고, 그 숲의 열매들을 함께 향유하자고 권한다. 세계 석학과 대문호.."
13,14,김수영 전집 1,김수영,"김수영 연구의 권위자이자 『김수영 육필시고 전집』의 편자인 이영준 교수가 새로 엮은 『김수영 전집』(시, 산문) 결정판이 민음사에서 출간되었다. 김수영 연구사에 한 획을 그은 『김수영 육필시고 전집』은 초고에서 시상 메모까지 현존하는 354편의 육필 시 원고를 담은 정본으로, 김수영의 시 세계가 탄생하는 최초의 상태를 발생론적 관점에서 조명함으로써 김수영 연구에 결정적 자료를 제공했다. 1980~1990년대 민음사 편집주간으로 일하던 이영준 교수는 1997년 도미, 김수영 연구로 하버드대학교에서 석·박사학위를 받았다. 현재 경희대학교 후마니타스칼리지 학장으로 재직 중이며 하버드대학교 한국학 연구소에서 발간하는 영문 문예지 《AZALEA》편집장으로 활동하며 영어권 독자들에게 한국 문학을 소개하고 있다. &#x.."
14,15,섬,장 그르니에,"`알제에서 내가 이 책을 읽었을 ?? 나는 스무살이었다. 내가 이 책에서 받은 충격, 이 책이 내게 그리고 나의 많은 친구들에게 끼친 영향에 대해서--- `라고 카뮈가 극찬한 프랑스 철학자의 산문집. <공의 매혹>,<부활의 섬> 등 지성이 가득한 8편의 산문을 묶었다."
15,16,슬픔이 없는 십오 초,심보선,"철학적 사유와 삶의 노래가 담긴 심보선의 첫 시집심보선의 첫 번째 시집『슬픔이 없는 십오 초』. 1994년 조선일보 신문문예로 등단한 시인이 데뷔 14년 만에 처음으로 펴낸 시집이다. 등단작 <풍경>을 비롯하여 14년간 시인이 쓰고 발표해온 58편의 시를 묶었다. 오랜 세월 간직한 일기장에서 나옴직한 말들과 구체적이고 내밀한 개인의 경험들을 풀어내고 있다. 이 시집은 총 3부로 구성되어 있다. 전반부에서는 세계와 나, 타자와의 관계 혹은 거리에 대해 가볍고 담담하게 이야기한다. 중반부로 넘어가면, 냉혹하고 복잡한 이 거리에서 시인은 '스스로를 견딜 수 없다는 것만큼 전락한다'고 고백한다. 보다 내면적이고 격정적인 모습을 지닌 시에는 꺾이는 무릎을 감추기 위한 시인의 흥얼거림도 담겨 있다.시인은 피.."
16,17,"파인만 씨, 농담도 잘하시네! 1",리처드 파인만,"노벨상 수상자이자 소문난 익살꾼, 파인만 씨의 재미있고도 괴상한 일화들리처드 파인만은 '양자전기역학 이론'을 재정립한 공로로 1965년 노벨 물리학상을 받았을 뿐만 아니라 물리학 전반에 중요한 업적을 남긴 20세기의 대표적인 과학자이다. 또한 저명한 교수이자 소문난 익살꾼으로, 물리학계에서 가장 색깔 있는 인물 중의 한 사람으로 알려져 있다.『파인만 씨 농담도 잘하시네』제 1권은 파인만의 친구 랄프 레이튼이 그와 함께 드럼을 치던 시절에 들었던 이야기들을 엮은 것으로, 파인만의 모든 명성과 업적 뒤에 숨겨져 있는 솔직하고 재미있는 에피소드들이 펼쳐진다. 1권에는 파인만의 소년 시절부터 2차 대전 당시 원자폭탄 개발을 위한 <맨해튼 프로젝트>에 참가했던 무렵까지의 일들이 수록되어 있고, 2권에는 코.."
17,18,"아름다운 삶, 사랑 그리고 마무리",헬런 니어링,조화로운 삶을 실천한 어느 지성인의 사랑『아름다운 삶 사랑 그리고 마무리』는 세계적 지성인 스코트 니어링과의 만남을 그린 자전적 에세이다. 26에 스코트 니어링을 만난 저자가 미국의 산업주의 체제와 그 문화의 야만성에 도전했던 스코티 니어링과 함께 나눈 53년 동안의 삶을 진솔하게 회고했다. 1904년 미국에서 태어난 헬렌은 세계적인 연주자의 꿈을 안고 열여섯에 유럽으로 건너간다.그곳에서 만난 크리슈나무르티와 헬렌은 서로 사랑하는 사이가 되는데…….
18,19,미쳐야 미친다,정민,"조선시대 지식인의 내면을 사로잡았던 열정과 광기를 탐색한 글. 남이 손가락질을 하든 말든, 출세에 보탬이 되든 말든, 혼자 뚜벅뚜벅 걸어가는 정신을 가졌던 이들, 이리 재고 저리 재지 않고 절망 속에서도 성실과 노력으로 일관한 삶의 태도를 가지고 있던 사람들의 이야기를 살펴본다.책을 관통하는 키워드는 '미쳐야 미친다(不狂不及)'. 지은이는 18세기 지식인들이 마니아적 성향에 열광했다는 데에 주목한다. 그리고 자신이 좋아하는 일에 미쳐 이룬 업적과 그 삶의 태도를 기록한다.굶어죽고 만 천재 천문학자 김영, 과거시험 대필업자라는 조롱 속에 세상을 냉소하였던 노긍, <백이전>을 1억 1만 3천 번(지금의 숫자로는 11만번) 읽은 독서광 김득신, 어찌보면 엽기적이라 할 수 있을 정도로 자신이 좋아하는 일.."
19,20,이것이 인간인가,프리모 레비,"아우슈비츠를 통해 인간성의 한계를 성찰한 현대증언문학의 고전!이탈리아를 대표하는 작가이자 화학자 프리모 레비의 『이것이 인간인가』. 유대계 이탈리아인인 저자는 제2차 세계대전 말기, 반파시즘 저항운동에 참여하다가 체포당해 아우슈비츠로 이송당했으며, 화학공장이 붙어 있는 제3수용소에서 1943년 12월부터 1945년 1월까지 노예보다 못한 일상을 보냈다. 이 책은 현대증언문학을 대표하는 중요한 작품으로, 저자가 기적적으로 살아돌아온 후, 폴란드의 아우슈비츠 제3수용소에서 보낸 열 달간의 체험과 관찰을 기록한 것이다. 체험과 기억에 대한 책임감, 산문의 한계를 넘어서려는 언어의 유려함, 그리고 날카로운 통찰과 유머로 삶을 성찰한다. 폴란드의 아우슈비츠 제3수용소에 갇힌 사람들은 헛되고 거짓된 노동으로 삶을 소진.."
20,21,청춘의 문장들,김연수,"나이 서른다섯의 의미는 무엇일까. 전체 인생을 70으로 봤을 때, 전반생과 후반생의 기점이 되는 나이, 풀 코스 마라톤에 비유한다면 하프 코스는 완주한 셈이다. 올해 서른다섯을 맞이하는 김연수는 등단한 이래 지금까지 여섯 권의 소설책을 펴냈으며 2003년에는 소설집 『내가 아직 아이였을 때』로 <동인문학상>을 수상하는 등 문인으로서의 절정기를 맞이하고 있다. 소설 쓰기와 함께 마라톤에도 열심인 것으로 알려진 그는 이처럼 지치지 않고 꾸준히 달려가고 있는 중이다.그렇다면, 작가 김연수에게 이 첫번째이자 마지막(작가의 말에 따르면) 산문집의 의미는 무엇일까. 서문에서 그는 “내가 사랑한 시절들, 내가 사랑한 사람들, 내 안에서 잠시 머물다 사라진 것들, 지금 내게서 빠져 있는 것들”을 기록해 놓았다고.."
21,22,달라이 라마의 행복론,달라이 라마,"달라이 라마가 하워드 커틀러라는 미국의 저명한 정신과 의사와 행복이라는 주제로 대화한 것을 묶은 책. 명상과 예화, 불교와 심리학의 만남을 통하여, 우리로 하여금 인간관계, 건강, 가정, 직업, 우울함, 걱정, 분노, 질투 등을 이야기하면서 어떻게 인생의 난관을 헤쳐나가면서도 내적인 깊은 평안함을 간직할 수 있는가를 보였다. 아울러 달라이라마의 깊은 진리의 말들을 커틀러 박사는 자신이 다루었던 과학적인 연구자세를 첨가하여 가히 혁명적인 심리학이라고 할 수 있을 만큼 달라이라마 가까이서 행복의 진정한 의미와 일상 생활 속에서 그것을 막고 있는 원인이 무엇인지를 자세히 분석했다."
22,23,소유하지 않는 사랑,라이너 마리아 릴케,"릴케의 가장 아름다운 시. 독일의 현대 서정시를 완성시킨 독일어권의 대표적인 시인으로, 보들레르의 문맥을 이어 현대시의 한 정점을 이룬 것으로 평가받는 릴케의 시작품을 초기, 중기, 후기로 나누어 각각 수록하고, 시작노트 및 헌시 그리고 미발표 원고를 따로 수록하였다."
23,24,체 게바라 평전,장 코르미에,"아르헨티나 의사 출신으로 인간을 억압하는 모든 독재에 대항하기 위해 전세계 전장을 뛰어다닌 체 게바라는 1960년대 저항운동의 상징이다. 검은 베레모에 아무렇게나 기른 긴 머리칼, 덥수룩한 턱수염, 그리고 열정적인 눈빛, 굳게 다문 입술... 체 게바라에 관한 전문가로 알려진 장 코르미에는 체의 아버지를 비롯해 체가 살아 생전 관계했던 모든 사람들과의 인터뷰를 통해 생생한 그의 모습을 전하고 있으며, 그가 남겨놓은 편지글이나 잡문들 거의 대부분을 실어 체 게바라 전기의 최종본을 완성했다."
24,25,걷기 예찬,다비드 르 브르통,"몸을 이용한 운동 중에서 가장 기본이 되는 '걷기'를 다각도에서 예찬한 산문집이다. '걷기의 즐거움'을 조금이라도 이야기한 책이라면 그게 여행서든 인문서든, 소설이든 죄다 인용하고 끌어다 댄다. '걷기'를 통해 본 독서에세이라고나 할까?작년에 출간된 <걷는 행복>이 연상됨은 물론. <걷는 행복>이 인종의 발전과정에 따라 걷기의 서사적 변화를 짚어보고, 걷기가 주는 혜택을 논한 책이라면 <걷기 예찬>은 책과 인물을 통해 본 걷기 예찬이다. 몸에 대한 관심에서 비롯된 저작이란 점에서는 똑같지만, 예찬의 방법이 다른 것이다. 소제목만 보아도 걷는 즐거움이 얼마나 다양한 지 알 수 있다. 지은이는 혼자서 걷는 것이 가장 좋은 방법이라고 일러준다. 노래를 부르거나, 가만히 서서 쇼윈도.."
25,26,"파인만 씨, 농담도 잘하시네! 2/완결",리처드 파인만,노벨 물리학상에 빛나는 천재 물리학자의 기상천외한 인생 에피소드. 원자폭탄의 비밀이 보관된 금고 털이로 봉고 연주자이며 화가가 되는 등 엉뚱하고 충격적이면서 따뜻한 인간미 넘치는 파인만의 삶과 재미있는 과학 이야기를 담았다. 1-2
26,27,지도 밖으로 행군하라,한비야,"바람의 딸, 한비야의 『지도 밖으로 행군하라』. '바람의 딸'로 불리며 유명인이 된 저자는 어느 날, 세계긴급구호 팀장이라는 낯선 직위를 얻고 세상 속으로 다시 뛰어들었다. 그리고 '재미있는 세계 여행이나 하지 왜 긴급구호를 하느냐'라는 물음을 뒤로 한 채 5년이 흘렀다. 이 책은 저자가 5년간 세계긴급구호 팀장으로 활동한 보고서다. 아프가니스탄, 이라크, 네팔, 팔레스타인, 이스라엘, 그리고 북한 등 긴급구호가 필요한 나라를 떠돌아다니며 그곳에서 사랑과 도움을 펼치고 돌아온 저자의 이야기가 감동적으로 펼쳐진다. 아울러 세상은 먹거나 먹히는 정글의 법칙만으로는 돌아가지 않는다는 것을 깨닫게 해주면서, 에너지와 가능성을 선사하고 있다."
27,28,흐르는 강물처럼,파울로 코엘료,"꿈꾸던 인생을 살고 있습니까?전세계 1억 독자들의 영혼을 뒤흔든 [연금술사]의 작가 파울로 코엘료 첫 산문집!그가 일상에서 건져올린 경이로운 삶의 기적들 우리 시대 가장 널리 읽히는 작가, 한국인이 가장 좋아하는 해외작가(교보문고 선정) 파울로 코엘료의 전세계 판매부수가 1억 부를 돌파했다. 그의 작품은 160여 개국 67개 언어로 총 445개 번역본으로 출간되었으며, 전세계 베스트셀러 목록에 장기간 머무르고 있다. 파울로 코엘료는 2008년 프랑크푸르트 도서전에서 1억 부 돌파를 기념하기 위해 그의 책을 출간한 전세계 출판사들과 각국 기자들을 초청해 기념행사를 열 예정이다. 20년 전 브라질의 작은 출판사에서 초판 900부로 출간된 [연금술사]는 오랜 세월이 지난 지금 생텍쥐페리의 [어린 왕자]와 칼릴 지.."
28,29,신도 버린 사람들,나렌드라 자다브,"신조차 내 꿈을 빼앗지 못했다!전세계적으로 센세이션을 일으킨 '인도의 살아있는 영웅' 나렌드라 자디브의 『신도 버린 사람들』. 인도에는 '불가촉천민(不可觸賤民)', 즉 '달리트'가 있다. 그들은 천민보다 못한 천민으로, 다른 신분의 사람과 닿는 것조차 금지되어 있다. 그리고 그들에게 인정된 권리는 구걸뿐이다. 태어나면서 정해진 신분은 죽어서도 바꿀 수 없는 인도에서, 그들의 삶은 슬프기만 하다. 인도에서 12년간 베스트셀러가 된 이 책은 그러한 불가촉천민에서 세계 경제를 움직이는 지도자가 된 저자의 자유와 희망에 대한 논픽션이다. 3,500여 년이나 묵은 인도의 신분제도, 카스트에서 불가촉천민을 탈출시키기 위해 투쟁한 불가촉천민의 아버지 '암베드카르'를 추종하던 부모의 결심으로 교육을 받게 된 저자가 전세계.."
29,30,프랭클린 자서전,벤자민 프랭클린,"'시간은 돈이다. TIME IS MONEY!'시간관리와 자기계발의 선구자 플랭클린을 만나본다.진솔하고 소박한 삶으로 세계인의 존경을 받는 인물 프랭클린을 만나보는 『프랭클린 자서전』. 그는 정규교육이라고는 2년 밖에 받지 못했지만 정치, 외교, 출판, 인쇄 등 각 분야에서 최고의 자리에 올랐다. 이 책은 오직 철저한 자기관리와 계발만으로 당대 최고의 인물이 된 프랭클린의 일생을 통해 철저한 시간관리 방법을 배울 수 있다.18세기 미국에서 가장 커다란 업적을 남겼다고 평가받는 벤저민 프랭클린. 21세기는 시간과의 전쟁이라고 할 수 있다. 그렇다면 그 시간을 어떻게 성공적으로 활용할 것인가? 절제에서부터 침묵, 질서, 진실함, 정의 등 13가지 항목을 정하고 이를 지키기 위해 시간계획을 짜고 생활의 개선에 자기.."
30,31,감옥으로부터의 사색,신영복,"1968년 통일혁명당 사건으로 구속되고 1988년에 특별가석방된 현직 교수의 옥중서간. 저자가 직접 수감생활을 하면서 느껐던 한과 고뇌를 230여 장의 편지와 글들을 담아 삽화와 함께 실었다. <나의 숨결로 나를 데우며>, <고시와 처칠>, <부모님의 일생> 등 수록."
31,32,안네의 일기,안네 프랑크,"전쟁과 사춘기의 한복판에 서 있었던 소녀, 안네 프랑크!안네의 일기 무삭제 완역판 『안네의 일기』. 제2차 세계대전 속에서 사춘기를 고민하고 전쟁의 참상을 기록한 유대인 소녀의 일기다. 제2차 세계대전이 한창이던 1942년, 열세 살이던 소녀 안네 프랑크는 가족, 동료들과 함께 독일 나치의 유대인 박해를 피해 은신처에 숨어 지내는 생활을 시작한다. 은신처라는 특수한 환경과 사춘기라는 보편적인 상황 속에서 안네가 겪어야 했던 다양한 고민과 감정이 솔직하고 재치 있게 담겨 있다."
32,33,아리랑,"님 웨일스, 김산","오늘, 김산은 우리에게 무엇을 말하려 하는가!12년만에 개정3판으로 재출간되는 『아리랑』. 미국인 여기자 님 웨일즈가 1937년에 기록한 한국인 독립 혁명가 김산(본명 장지락)의 일대기이다. 1920∼1930년대라는 정치적 격동기를 살다 간 김산의 고뇌, 좌절, 사랑, 열정, 사상의 발자취를 고스란히 담았다. 개정2판이 출간되었던 1993년 이후 12년만에 나오는 이번 개정판은 판형과 본문 레이아웃을 전면수정해 가독성을 높였으며, 표지에 이전판에는 없던 27세 김산의 사진을 담고 중국 인명과 지명을 한자음에서 중국어 표기방식으로 수정하는 등 현대적 감각에 맞춰 다듬었다.평양 출생의 김산은 도쿄에서 고학을 하던 중 일제의 압박과 만행에 충격을 받고 중국으로 건너가 안창호, 김약산과 함께 의열단에 가입한다. 중.."
33,34,시가 내게로 왔다 1,김용택,"시인 김용택이 사랑하고 감동하고 희구하고 전율하는 시들에다 김용택 시인만의 독특한 글을 덧붙여 만든 책. 파블로 네루다의 시 한편을 비롯해 우리나라 근대 서정시의 본령이라 할 수 있는 김소월, 이용악에서부터 박용래와 김수영, 서정주와 고은을 거쳐 장석남, 유하에 이르기까지 근 1세기 동안의 한국 시사를 가로지르는 우리 시인들의 절창 마흔여덟 편을 아우르고 있다."
34,35,소설처럼,다니엘 페낙,"""소설은 그냥 소설로, '소설처럼' 읽어라."" <늑대의 눈>, <까보 까보슈>, <말로센 말로센> 등으로 널리 알려진 다니엘 페낙이 쓴 독서에 대한 에세이. 실제로 아이들을 가르치면서 겪은 경험을 토대로 어떻게 하면 아이들에게 책읽기의 즐거움을 가르칠 수 있는지를 알려 준다.책을 읽는다는 것은 아무런 목적이 없는 행동이다. 책은 시험을 치기 위해 읽는 것도, 성적을 잘 받기 위해 읽는 것도, 멋있게 보이기 위해 읽는 것도 아니다. 책을 읽는 과정은 연애와 비견될 수 있는 지극히 친밀하고 따뜻한 그 '무엇'이다. 그런데, 아이들은 그토록 좋은 책읽기를 끔찍하게 여긴다. 왜? '읽기'가 권유가 아닌 명령이 되어 버렸기 때문이다.아이들이 책을 읽지 않는 것은 전적으로 어른들의 책임.."
35,36,가재미,문태준,"문태준 시인의 세 번째 시집. 제5회 미당문학상 수상작 '누가 울고 간다'와 제21회 소월시문학상을 수상한 시 '그맘때에는'을 비롯, 그간 발표해온 총 68편의 시가 4부로 나뉘어 실렸다. 표제작 '가재미'는 2005년 시인과 평론가 120여 명이 참여해 뽑은 '문예지에 실린 가장 좋은 시'로 선정된 바 있다.2004년 출간된 <맨발> 이후 두 해를 지나오면서, 문태준 시인은 오래된 된장처럼 곰삭은 시어와 특유의 고요한 서정으로 주목 받아 왔다. 문단의 굵직굵직한 시문학상을 섭렵하다시피 했고, 2004년과 2005년에는 '문인들이 뽑은 가장 좋은 시인'으로 선정되기도 했다.문태준 시인은 천천히, 조심스럽게 풍경과 벌레와 사람의 속내로 접근해간다. 유년 시절, 고향 마을 어귀의 고갯길, 뜰, 채마밭.."
36,37,뒹구는 돌은 언제 잠 깨는가,이성복,섬세한 감수성을 지녔으며 상상을 초월하는 언어 파괴에 능란한 이성복 시인 첫 시집 『뒹구는 돌은 언제 잠 깨는가』. 개인적인 삶의 고통을 보편적인 삶으로 확대하는 이성복 시인의 끈질기고 원초적인 싸움이 펼쳐진다. 고통 속에서 진실의 추구에서 얻어진 지혜를 담아낸 이 시집은 시인의 다양한 미발표시들을 포함했다.
37,38,흙 속에 저 바람 속에,이어령,"이 책은 울음, 굶주림, 윷놀이, 돌담, 하얀 옷, '끼리끼리' 등 일상적 소재 속에서 한국 문화의 본질, 한국적 정서의 심층을 탐구하는 이어령 에세이집이다. 열등의식과 좌절감 속에 빠진 한국인에게 민족적 긍지와 정체성을 일깨워, 그간 250만여부의 최장기 스테디셀러로 기록된 이어령 교수 에세이집의 발간 40주년 기념 개정판이다."
