,순위,책이름,저자,줄거리
10,11,책만 보는 바보,안소영,"독서가들의 입소문으로 시간이 흐를수록 사랑받는 우리 시대의 새 고전책만 보는 바보사실과 상상으로 빚어낸 조선시대의 책벌레 이덕무와 그의 벗들 이야기‘책만 보는 바보’라 불렸던 이덕무, 그의 눈과 마음이 되어 그려 보는 조선 후기 실학자 박제가 ,유득공, 이서구, 박지원, 홍대용 들과 협객 백동수, 그리고 개혁 군주 정조와 18세기 조선.■ 역사 속 인물을 바로 우리 곁으로 불러내기역사(歷史)라는 오래된 문자[歷지낼 력]를 들여다봅니다. 자연과 사람의 노동이 어우러져 자라는 곡식[벼 화禾+禾]이 심어져 있고, 주변을 서성이는 사람의 발자국[止]도 보입니다. 틈나는 대로 둘러보며 가꾸는 사람의 애타는 마음도 담겨 있는 듯합니다. 울타리[厂]도 둘려져 있습니다. 이렇듯 ‘역사’라는 추상적인 단어도 찬.."
11,12,명상록,마르쿠스 아우렐리우스,"자기 자신에 대한 진지한 성찰을 담은 아우렐리우스의 사색적 기록 「명상록」. 스토아적 철인으로서 격무에 시달리는 황제로서의 사상과 경험을 토대로 쓴 에세이로 인간 아우렐리우스의 고뇌가 나타난다. 그는 모든 것이 마음가짐에 달려 있다고 말하며, 인간이란 이성을 가진 존재이기 때문에 어떠한 외부의 자극이나 압력에도 굴하지 않을 수 있으며 평정을 누릴 수 있는 존재라고 말한다. 또한 선과 악을 함께 우주적 섭리의 의지로 받아들이게 하며, 인간과 신에 대한 불만을 털어버리고 격정과 허영으로부터 벗어나는 지혜의 가르침을 전해준다."
12,13,오뒷세이아,호메로스,"고대의 하늘로 맑게 울려 퍼진 호메로스의 이야기그리스 문화의 원형이자 서양 정신의 출발점인 호메로스의 대표작. '오뒷세우스의 노래'라는 뜻인 <오뒷세이아>는 기원전 700년경 씌어진 것으로 세상에서 가장 오래된 서사시로 평가받고 있다. 1996년 출간된 원전 번역본에서 직역으로 번역되어 어색한 표현들을 그동안 변화된 언어감각에 맞추어 부드럽게 다듬어 펴냈다. 이 책은 트로이 전쟁에서 목마를 고안해 승리를 이끌어낸 그리스 영웅 오뒷세우스가 전쟁이 끝난 후 귀향을 이루지 못하고 바다 위에 떠도는 이야기로, 그가 고향으로 돌아가기까지 10여 년 동안 전쟁보다 험난한 모험을 겪게 된다. 배가 난파되고, 동료들을 잡아먹는 외눈박이 거인 퀴클롭스의 동굴에 갇히고, 아름다운 여인들의 유혹을 받기도 하고 신들에.."
13,14,서른살이 심리학에게 묻다,김혜남,"내 인생, 도대체 뭐가 문제인 걸까? 진정 내가 원하는 것은 무엇일까? 내게도 다시 사랑이 올까?서른살의 삶과 사랑, 일에 관하여 이야기한『서른살이 심리학에게 묻다』. 이 책은 인생의 전환기인 30대에 들어선 젊은이들이 느끼는 불안과 자립에 관한 조언을 담고 있다. 갑작스레 어른들의 사회로 던져진 채 느껴야하는 낯설은 감정과 다시는 올 것 같지 않은 사랑에 대한 고민, 직장내에서의 인간관계와 자신의 욕망에 충실하게 대하는 방법 등을 정신과 의사인 저자가 심리학적으로 35가지 테마로 나눠 조언한다. 그리고 왜 서른 살은 마음먹은 만큼 성공할 수 있는지, 왜 더 뜨겁고 간절하게 사랑할 수 있는지, 왜 마음껏 행복해질 수 있는지를 밝힌다. 저자는 서른 살에게 말한다."
14,15,문학의 숲을 거닐다,장영희,"이 세상을 살아간다는 것은 거칠고 숨가쁘지만 얼마나 아름다운 일인지 미려한 문체로 풀어냄으로써, 많은 사람들에게 삶의 복됨과 희망을 일깨워온 서강대학교 장영희 교수. 그가 2001년부터, 척추암 선고를 받고 치료를 위해 연재를 그만두기까지 3년에 걸쳐 조선일보 북칼럼 「문학의 숲, 고전의 바다」에 게재했던 주옥 같은 글들을 엮었다.　생후 1년 때 앓은 척수성 소아마비로 두 다리를 쓰지 못하는 1급 장애인이며, 두 번에 걸쳐 암선고를 받고 투병해온 사람으로 믿어지지 않을 만큼 그의 글에는 삶에 대한 긍정과 발랄한 유머, 이웃에 대한 사랑이 묻어난다. 저자는 이 책에서 자신은 책을 통해 살아가는 법을 배웠다고 고백하고, 그 문학의 숲을 함께 거닐고, 그 숲의 열매들을 함께 향유하자고 권한다. 세계 석학과 대문호.."
15,16,문장강화,이태준,"50년 세월 속에서도 빛이 바래지 않은 생생한 문장론을 담은 고전 <문장강화>. 시인 정지용과 쌍벽을 이루던 문장가인 상허 이태준의 문장론을 수록하였다. 글을 아름답게 꾸미려는 태도를 버리고 마음속에 있는 것을 자연스럽게 드러내는 것이 가장 좋은 글쓰기 태도임을 강조하고 있다. 이 책은 '글을 어떻게 써야 하나?'라는 주제를 내걸고 거기에 관해 진지하게 강론한 내용이다. 좋은 글쓰기의 모범을 보여주는 발랄하고 풍부한 인용 예문을 통해 신문학의 우수한 성과를 전해주고 있다. 철저한 원본대조와 인명해설, 인용문 색인 등을 덧붙여 보다 쉬운 이해를 돕는다."
16,17,도덕경,"노자, 오강남",노자가 <도덕경>에서 들려주는 진리의 말은 물질만능 주의에 빠진 현대인에게 자신의 삶을 돌아보게 한다. 한문으로 5천자 남짓되는 81편의 짤막짤막한 경전을 풀어쓰고 그 의미를 심층적으로 다루었다.
17,18,게으름에 대한 찬양,버트런드 러셀,"현대인들에게 '행복해지려면 게을러지라'는 처방을 내리는 버트런트 러셀의 저서. 산업사회가 낳은 인간이 노동으로부터의 소회를 통렬하게 비판하며, 열심히 일해야 한다는 사회적 통념과 달리 인간의 진정한 자유와 주체성 확립을 위해서는 오히려 여가가 필요하다고 주장한다.이 책은 정치적 대립 상황에서 간과되기 쉬운 사회 현안들을 여러 측면에서 바라보고 있다. <게으름에 대한 찬양>을 포함하여 <무용한 지식과 유용한 지식>, <건축에 대한 몇 가지 생각>, <현대판 마이더스>, <사회주의를 위한 변명> 등 15편의 글을 만나볼 수 있다."
18,19,시나리오 어떻게 쓸 것인가 1,로버트 맥키,"<아마존 닷컴> 시나리오 부분 베스트 셀러 1위할리우드가 인정한 시나리오 작법의 대가, 하버드, 예일, UCLA, USC 등 최고의 영화 학교들이 선택한 교재!!이 책의 지은이인 로버트 맥기는 현제 전 세계적으로 가장 유명한 시나리오 작법에 관한 세미나를 주도하고 있으며 지금까지 4만 명이 넘는 시나리오 작가, 영화 제작자, 소설가, 희곡 작가, 배우, 감독들이 그의 수업을 들었다. 그의 제자들은 <반지의 제왕>, <뷰티풀 마인드>, <포레스트 검프>, <슈렉>, ,< 프렌즈> 외에 수없이 많은 명작들을 쓰거나 감독, 제작했으며 그 영화들을 통해 지금까지 19번의 이르는 아카데미 상, 110번의 에미 상 등을 수상했다.이 책은 그의 모든 가르침.."
19,20,오제은 교수의 자기사랑노트,오제은,"이 책을 읽는 것만으로도, 당신은 이미 행복의 문으로 들어선 축복받은 사람이다!『오제은 교수의 자기사랑노트』. 아시아인 최초로 국제 공인 이마고 부부치료 전문가이자 미국심리치료협회 임상감독 자격을 지닌 오제은 교수의 저작이다. 이 책은 이론 중심의 심리 치료서라기보다는 내면아이 치료의 이론과 사례를 자전적 이야기들 속에 녹여냄으로써, 현장감과 다양한 경험을 풍성하게 느낄 수 있는 심리 치료서이다.부자이건, 가난한 사람이건 어린 시절의 상처는 치유되지 않으면 모두 그대로 남아있기 마련이다. 그 상처를 치유하기 위해서는 내 안에서 울고 있는 나, 바로 상처받은 내면아이인 나를 만나야 한다. 저자는 고통의 뿌리이자 모든 인간관계 속에서 문제의 원인으로 대두되는 내면아이를 만날 수 있도록 안내한다.이 책은 ‘상처 .."
20,21,팡세,블레즈 파스칼,"파스칼의 명저 팡세. 현대에 이르기까지 프랑스 사상사에 가장 큰 영향을 미친 서적 중 하나로 인정받는 책으로 보들레르, 니체, 졸라에게 영감을 주고 실존주의자들의 선구가 되었다. 번역을 한 불문학자 이환 교수는 최근까지의 문헌학적 연구 결과에 바탕을 두고 편찬한 책인 라퓌마 L. Lafuma 판을 원본으로 삼아 파스칼의 진정한 의도에 가깝게 다가갈 수 있도록 하였다."
21,22,은유로서의 질병,수전 손택,"질병을 둘러싼 은유들은 어떤 질병에 낙인을 찍으며 좀더 나아가서는 질병을 앓는 사람들에게 낙인을 찍어놓는다. 내 책의 목적은 이런 상상력을 부추기기보다는 가라앉히는 것이다. 전통적으로 문학이 자신의 목적으로 삼아 이루려 노력해왔던 일종의 의미부여가 아니라 뭔가에서 의미를 빼앗는것, 극히 논쟁적인 전략을 활용해 돈키호테마냥 지금의 이 세계, 이 신체에 가해진 해석에 반대하는 것이 저자의 목적이다. 물론 사람들은 은유없이 사고할 수 없다. 그러나 그렇다고 해서 우리가 자제하고 피하려 애써야 할 은유가 없다는 것을 의미하지는 않는다. 물론, 모든 사고는 해석이다. 그러나 그렇다고 해서 해석에 반대한다는 것이 언제나 옳지 않다는 것을 의미하지는 않는다."
22,23,선악의 저편.도덕의 계보,프리드리히 니체,"1886년과 1887년에 각각 출간된 니체의 <선악의 저편>과 <도덕의 계보>를 함께 수록한 책. <선악의 저편>은 니체의 가치전도와 새로운 철학의 구상 시기인 1881년에서 1886년까지의 노트와 단상 기록들을 기초로 씌여졌으며, 일반적으로 니체의 후기 사상이라고 할 수 있는 모든 내용이 담고 있으며, <도덕적 계보>는 도덕적 편견의 기원에 관한 논의를 비판적으로 다루면서 계보학을 통해 가치의 발생과 변형, 역사적 변화 과정을 추구하고 있다."
23,24,욕망 이론,자크 라캉,"프로이트의 정신분석학을 토대로 무의식과 성(性) 불 능을 재해석하고, 인간이 욕망의 주체임을 강조한 프 랑스 정신분석학자의 연구글 모음."
24,25,다산선생 지식경영법,정민,"탁월한 지식편집자 정약용은 어떻게 지식을 경영하고 정보를 조직했을까? 전방위적 지식경영인 다산 정약용의 공부법을 정리한 <다산선생 지식경영법>. 공부방법만 다루는 것이 아니라, 정보판단과 지식편집의 문제를 중점적으로 살펴보는 책이다. 저자는 다산식 지식경영법을 활용하여, 다산의 연구작업 과정에 대한 분석과 탐구를 제시하고 있다. 우리 역사에서 전무후무한 탁월한 지식편집자로 꼽히는 다산이 어떻게 지식을 경영하고 정보를 조직했는지 알아본다. 이 책은 '다산치학 10강(綱) 50목(目) 200결(訣)'이라는 부제처럼, 열 개의 큰 줄기를 세워 각각 다섯 가지의 방법론으로 배열하였고, 하나의 방법론 안에 네 개의 소제목을 따로 두었다. 이를 통해 다산 지식경영법의 핵심을 파악하고, 방법적 노하우를 분석하.."
25,26,철학카페에서 문학 읽기,김용규,"<파우스트>에서 <당신들의 천국>까지, 세기의 문학을 읽는 철학!철학과 문학의 만남을 통해 우리의 삶을 철학하게 하는 독특한 철학 교양서 『철학카페에서 문학 읽기』. 세기의 문학 13편 속에서 주옥같은 철학적 담론을 꺼내 함께 소통하고, 고전을 읽는 새로운 시각과 폭넓은 삶의 이치를 제공하고자 했다. 저자는 풍부한 인문학적 지식을 바탕으로 음악이나 미술 이야기, 때론 커피숍 창가에서 바라보는 정경을 이야기하며 철학과 문학의 만남을 주선한다.이 책은 문학에 철학자의 사유와 철학적 해석을 담아내고 있다. 만남, 사랑, 성장, 자기실현과 같은 개인의 물음에서 시작하여 유토피아, 인간공학, 사회공학 등 우리 사회가 고민해야 할 다양한 문제들까지 살펴본다. 문학 특유의 풍부한 감수성과 현실에 대.."
26,27,변신이야기 1,오비디우스,성경과 함께 서양문화의 두 축을 이루는 천지창조에 관한 대서사시. <변신 이야기 METAMORPHOSES>는 그 내용의 방대함은 물론 수려한 문체로 그리스-로마 신화의 최고 전범으로 평가되는 작품이다. 서양 중세 문화는 기독교와 오비디우스의 <변신 이야기>라는 두 축을 중심으로 형성되었다고 할 수도 있다. 그만큼 이 책은 아직 기독교에 물들지 않은 서양 고대의 인식체계를 고스란히 보존하고 있다. 한편 시대를 뛰어넘어 수많은 작가와 시인과 화가 들의 상상력을 자극하는 예술 창조의 원천이 되기도 했다. 이 책에 담긴 세계에 대한 풍부한 모티프들과 시적 상상력들은 서양의 인문학에 접근하려는 사람들에게 가장 기본적인 지식을 제공할 것이다. 나아가 하늘이 열리던 아득한 때와 사람이 살게 된 시대..
27,28,플라톤의 국가·정체,플라톤,"<국가>의 헬라스어 원전을 완역한 책. 이번 개정증보판은 2003년에 S.R.Slings에 의해 편찬되어 나온 'Politeia'의 새로운 옥스퍼드 텍스트을 기본 대본으로 삼고, 그 밖의 다수 판본들을 참조하여 보완한 것이다. 최대한 원문에 충실하게 해석하였으며, 제1권에서 제10권까지 각 권마다 논의 전개에 대한 개요 형태의 짧은 글을 수록하였다. 또한 플라톤의 생애와 함께 그의 철학을 개괄적으로 서술한 글을 덧붙였다."
28,29,고맙다 논리야,위기철,"[반갑다, 논리야], 아직도 이 책을 안 읽은 친구가 있나요?쉽고 재미있는 이야기를 통해 어려운 논리를 흥미롭게 이해할 수 있도록 구성하였습니다. 72편의 재미있는 이야기를 통해 논리의 개념을 하나씩 익혀 <올바르게 생각하는 방법(논리)>을 자연스럽게 터득하세요."
29,30,주역강의,서대원,이 책은 해당 분야 전공자들을 위한 교재 겸 전문서이다.
30,31,소비의 사회,장 보드리야르,"장 보드리야르는 사물의 소비를 사용가치의 소비보다는 행복, 안락함, 사회적 권위, 현대성등의 소비로 규정한다. 이 책은 이러한 새로운 소비개념을 통해 현대 대중사회를 예리하게 분석한다."
31,32,사랑의 단상,롤랑 바르트,"프랑스의 마르크스주의자, 구조주의자, 후기 구조주의자이자, 현대의 가장 활력적인 사유 체계의 개척자이며, 우리 시대의 가장 위대한 신화 해독자인 롤랑 바르트(1915년 ~ 1980년)의 사랑에 대한 단상집. 뛰어난 글쓰기의 한 전범을 보여주는 이 책은 고뇌와 기다림의 고통을 통해 욕망을 여행하면서 사랑과 상상으로의 회귀를 열망하는 과정인 한 편, 언어와 정신분석학이 인간의 모든 정서 현상에 인쇄되는 그 끔찍한 환원 작업으로부터 사랑하는 사람과 말하는 사람이 마침내 승리하게 되는 소설적인 텍스트이다."
32,33,뇌 생각의 출현,박문호,"38억 년이라는 시간과 우주 공간으로의 초대!우주와 생명의 탄생, 생각의 출현에 이르는 거시적 체계를 탐사!이 책은 38억 년의 시공간을 넘나들며 우주와 생명의 탄생에서 시작해 감각과 운동, 기억, 느낌, 의식, 창의성에 이른 전 과정을 흥미진진하게 탐구한다. 신경철학자들의 사유와 포스트모던철학의 사유, 과학 사유(생물학, 입자물리학, 양자역학, 상대성이론…)를 총망라하며, 인간에 이르러 비로소 '생각한다'는 것이 가능하게 된 기원을 알아본다.저자는 뇌 공부를 하면서 깨달은 생명의 긴 여정, 환경 변화에 적응하는 척추동물 진화의 역사를 생명과 세포의 관점으로 들여다본다. 지식의 의미와 내용을 뇌과학의 시각으로 일관되게 구성하며, 의식이라는 놀라운 생명현상의 근원을 추적한다. 먼저 우주의 관점에서 본 시공에 .."
33,34,변신이야기 2,오비디우스,성경과 함께 서양문화의 두 축을 이루는 천지창조에 관한 대서사시. <변신 이야기 METAMORPHOSES>는 그 내용의 방대함은 물론 수려한 문체로 그리스-로마 신화의 최고 전범으로 평가되는 작품이다. 서양 중세 문화는 기독교와 오비디우스의 <변신 이야기>라는 두 축을 중심으로 형성되었다고 할 수도 있다. 그만큼 이 책은 아직 기독교에 물들지 않은 서양 고대의 인식체계를 고스란히 보존하고 있다. 한편 시대를 뛰어넘어 수많은 작가와 시인과 화가 들의 상상력을 자극하는 예술 창조의 원천이 되기도 했다. 이 책에 담긴 세계에 대한 풍부한 모티프들과 시적 상상력들은 서양의 인문학에 접근하려는 사람들에게 가장 기본적인 지식을 제공할 것이다. 나아가 하늘이 열리던 아득한 때와 사람이 살게 된 시대..
34,35,격몽요결,이이,"율곡 이이가 전하는 인생의 가르침!조선시대 대학자 율곡 이이 선생에게 배우는 인생의 가르침『격몽요결』. 이 책은 조선시대 대학자 율곡 이이 선생이 후학 교육을 위해 마련한 정신수양서로서, 세상을 살아가는 데 올바른 사람이 되기 위해서 배우고 깨우쳐야 할 10가지 덕목을 제시하고 있다. 이것은 수세기를 뛰어넘은 오늘날에도 소중한 생활 교육 지침서로서, 가정을 바로세우고 정의로운 사회 실현을 꿈꾸는 모든 현대인들의 가슴에 깊이 새길 만한 가르침이 담겨 있다.이 책은 노구 38권으로 구성된 ≪율곡전서≫의 27권에 들어 있다. 마음을 세우는 것, 몸소 실천할 일, 부모 섬기는 법, 남을 대하는 방법 등을 알려준다. 전편에 걸쳐 강조하고 있는 권선징악이나 효에 대한 강목이 어느 책보다 강하여 자칫 딱딱해 보일 수 있.."
35,36,고민하는 힘,강상중,"불안과 고민의 시대, 일본 100만 독자를 일으켜 세운 책!재일 한국인 최초 도쿄대 교수 강상중이 쓴 ‘삶의 방법론’정치학자 강상중, 삶을 이야기하다재일 정치학자 강상중(姜尙中) 교수가 지난해 5월 펴낸 [고민하는 힘(惱む力)]이 일본 출판계에서 화제다. 출간된 지 1년도 안 돼 100만여 부가 판매되며 베스트셀러 자리를 지키고 있다. 중장년층 독자는 물론이고 20대 대학생들도 이 책에 열광적인 반응을 보이고 있다. [니혼게이자이 신문], [마이니치 신문], [아사히 신문] 등의 일간지를 비롯해, 시사·경제·문화 잡지, 일간지, 주간지, 여성지, 패션잡지에 이르기까지 전 언론의 집중적인 조명을 받고 있다. 소설이나 자기계발서, 실용서가 아닌 책으로는 보기 드문 호응을 얻고 있는 것이다. 저자는 엄밀하고 탄탄.."
36,37,슬픈 열대,클로드 레비 스트로스,"현대 구조주의 사상의 새로운 장을 개척한 레비-스트 로스의 인류학서『슬픈 열대』. 브라질에 체류하면서 조사한 네 원 주민 부족(카두베오, 보로로,남비콰라, 투비 카와이브족)의 원시사회와 문화를 통해 문명과 야만의 개념을 비판한다."
37,38,글쓰기의 전략,"정희모, 이재성","글을 쓰는 과정을 단계별로 알려주는 실용적인 글쓰기 책이다. 글쓰기의 한 과정 한 과정을 전략적으로 다루며, 글쓰기의 원리를 실제 적용하는 방법을 알려준다. 글쓰기의 원리를 안다고 해서 글을 잘 쓰는 것은 아니다. 글쓰기 능력은 꾸준한 독서와 쓰기연습이 반드시 필요하다. 그래서 이 책은 책 본문 중간에 모범이 될 예문의 전문을 수록하여 배경지식을 알려주고, 독자들이 직접 글을 작성해 볼 수 있도록 구성되어 있다. 총 13장이 글쓰기를 위한 체계적인 학습을 위해 구성되어 있으며, 각 장의 끝에는 흔히 잘못 알 기 쉬운 맞춤법이나 띄어쓰기 등 우리 말에 관한 정보가 수록되어 있다. 현대사회에서 글쓰기의 중요성은 점차 높아지고 있다. 이 책은 단순한 글쓰기 능력의 향상 뿐 아니라 우리말에 대한 기본적인 지식과 논.."
38,39,난중일기,이순신,"이순신이 임진왜란의 한복판에서 써내려간 고뇌와 결단의 기록 <난중일기>. 이 책에서는 많이 듣고 배워왔던 '영웅 이순신'의 모습이 아닌 '인간 이순신'을 모습을 부각하고 있다. 이순신은 단순히 군사를 호령하고 함대를 이끌고 왜적을 쳐부순 무패의 장수가 아니었다. 그는 부하였던 이의 궁핍한 사정에 기꺼이 옷을 벗어 주고, 아들의 죽음에 오열하고, 부하가 다른 장수를 욕하는 것에 귀 기울이기도 하고, 오랜 싸움에 몸져눕기도 하는 인간이었다. 이순신이 남긴 짧은 문장과 서정적인 시구를 통해 그의 인간적인 면모를 다양하게 살펴볼 수 있다."
